classe; mensagem 
2;"sarou la pernita mon sherry? consegue ""coizá"" de ladinho? castigo. próxima vez será a língua. olha o que te espera, segundo feliciano: levítico 20:13. "
2;oqee? hauahauahu. ta lokao pia kkkkk riii alto aqui mos hauahauahu 
2;entendam , nunca vamos desistir e os rodeio não vão morrer . jamais! é só uma questão de tempo para que entre na tv aberta, na globo , e no esporte espetacular . as disputas da crp, ekprozeta , ou então pbr e os desinformados que não conhecem o esporte, ver as práticas com outros olhos e ficar sabendo oque é rodeio , que não existe tortura e mals tratos . e fazer gente como o sr almeida e a sra ana se mijarem de raiva . enquanto isso .... bebei amigos iiioourrouw ! 
1;salud, cowboy. buenas noches. 
1;buenas 
1;"hello, galera de hat and boots, yes vote. saudações caipirocountries. lembrando a todos que, devemos manter serenidade, não partam para o confronto pessoal, pois é isto que eles querem  passar uma imagem de que somos caipiras rudes e, truculentos, (amo ser caipira, amo..., amo...), mantenham o foco na proposta: quem ama rodeio vota sim  quem não gosta pode votar sim também, se quiser. lembrem-se meus irmãos (as), que o chaves nos ensinou que, ""devemos amar nossos inimigos"". não há motivo para ""istréis"", o rodeio não vai acabar nunca  pois estamos amparados e sacramentados pelas leis: 10.220/01 e, 10.519/02, fora um monte que estão tramitando a nosso favor, este projeto aquí, é só para transformá-lo em patrimônio cultural do brasil, o que é justo  acaso não seja aprovado  eu escreví ""acaso..."", não mudará em nada para o esporte. "
1;hauahau e leon veio sê é foda moço :@ eeu seei parceiro. d tudu isso só estou me divertindo um pouco.mas tem gente ai que pede pra leva espora kkkk , e além do mais o que seria a vida sem uns aranca rabos heueheuheu . gosto de perturbar a ana e arregaçala com meus argumentos hauahauahu . logo, com tudu isso, o amor que ela sente por mim vai mudar tudu :@ 
1;amor, heiiin? más..., e ser for um kinderovo? 
1;aah leon !mais você chinga também cara hauahauahau. sê é foda boiadeiro. tamujunto amigão ! # conosco não tem enrosco 
1;valeu, boiadeiro, firma o gorpe, bruto. 
1;ai o geito é capa boiadeiro hauahau 
1;kkk, e com as costas do canivete. 
1;não sei o que mais irrita na ana animal se é a minha beleza que ofusca ainda mais o que já está apagado nela kkkk ou como disse nosso parceiro de ponta , o nosso guerreiro leon .... deve ser os 5 milhões arrecadados para o hospital de câncer kkkkk o que essa mulher faz para alguém ? ou por alguém ? mais propaganda de castração grátis ela faz bem , como já fez aqui essa sem vergonha . e se diz lutar pelo direitos dos animais ... como é sinica e hipócrita! 
1;se acarma fitz véi.., óia o coração  guarde as emoções para o barretão, amanhã. 
1;ooow compadre veio, soo vou sexta homi .... não posso larga as criação aqui não já, mais vou sexta se deus quizer e vouto domingo ! 
1;ai sim dona ana dos animais,vc fez o que todos que são contra deveriam fazer,assistir o rodeio e ver com seus olhos como são lindos e bem cuidados os animais de rodeio,barretos montou a casa do veterinario onde mais de 40 veterinários estão revezando 24 horas por dia,durante todo o evento para manter a integridade fisica e bem estar dos animais. 
1;também queria deixar meus parabéns a senhora ana dos animais por ter assistido o rodeio de barretos e conferido com seus própris olhos que nenhum animal saiu ferido ou mal tratado do rodeio,,o rodeio ainda continua até dia 30 e outros ativistas deveriam fazer a mesma coisa que a senhora ana fez,,conhecer e olhar com seus olhos como são saudáveis e bem tratados esses animais ,tambem verão assistencia veterinaria 24 horas durante todo evento. 
1;parabéns ana dos animais,,pois voce fez o certo,assitiu o rodeio de barretos e pode ver com seus proprios olhos que não teve maus tratos alguns,,o rodeio continua até dia 30 e quem quiser acompanhar também poderá conferir como são tratados os animais de rodeio 
1;ai sim dona ana,,dessa vez voce pode conferir que até agora ja se passaram 7 dias de evento e nenhum saiu machucado ou ferido da festa de barretos 
1;também queria deixar aqui meus parabens a senhora ana dos animais,,por ter assistido o rodeio de barretos,assim ela poderá contar a todos o que viu,animais sadios e com vida de atletas,,com acompanhamento veterinario,comida farta e transportes de otima qualidade, e nhum animal saiu ferido durante esses 5 dias de festa e vão continuar sendo muito bem cuidados até domingo 
1;"parabéns "" ana dos animais """" dessa vez voce fez a coisa certa,assistiu o rodeio de barretos,agora deve ter visto que não existe aqueles maus tratos que voce tanto falava também deve ter visto como são saudavéis os animais,,conte para o pessoal desse site quantos veterinários estavam e ficam de plantão durante todo os 10 dias de eventos cuidando para que não aconteça nada de mau aos animais,,conte para todos como estão lindos os animais,,seja real e fale a verdade. "
1;a dona ana dos animais assistiu o rodeio de barretos,porque sera que ela não contou o que viu,,sera que ela não viu o numero de veterinários que estavam de plantão 24 horas para cuidar do bem estar e integridade fisica dos animais,,sera que ela não viu como são lindos os animais,,sera que ela não viu que o peão não causa dor alguma ao animal,,sera que ela não viu que cada animal pula no maximo uma vez durante toda a festa,,sera que não viu como é farta e saudavel alimentação dos animais,,conte para gente. 
1;parabéns mesmo ana dos animais,,assistiu o rodeio de barretos,,porque sera que agora voce não da seu depoimento do que viu,,sera que voce viu varios veterinarios de plantão 24 horas,,sera que vc viu as instalaçoes onde os animais são recebidos,,sera que voce viu como são bem cuidados os animais,,sera que voce viu que não são usados nenhum equipamento que fere os animais,,porque sera que agora voce não da seu depoimento,,fale a verdade do que viu,,sem mentiras,,as mesmas verdades do que todos que estavam lá viram. 
1;parabéns dona ana dos animais,,agora sim a senhora fez a coisa certa,,assistiu o rodeio de barretos e tenho certeza que viu a mesma coisa que a gente viu,,animais saudaveis com vida de atleta,,transportados em caminhoes modernos e com acompanhamento veterinario 24 horas,,com certeza viu quantos veterinarios estavam de plantão por todo evento,,talvez seria importante vc dar seu depoimento e falar o que realmente viu. 
1;é isso ana,,assistiu o rodeio de barretos e com certeza viu os animais mais bem tratados que ja viu na sua vida 
1;vc poderia dar seu depoimento do que viu,,real,,,, viu como não é nada do que vc imaginava,, viu quantos veterinarios dão assistencia 24 horas dentro do recinto,, viu também as instalaçoes que os animais são recebidos,,por favor fale sobre isso ,,fale a verdade e menos coisas que não existe 
1;parabéns dona ana se todos ativistas fizessem como a senhora o mito que animais de rodeio são mal tratados acabaria,,viu a casa do veterinario que tem dentro do recinto de barretos com mais de 4o veterinarios em turno de 24 horas para proteger e cuidar da integridade fisica dos animais,,conte para outras pessoas o que viu,,assim realmente estará judando animais a não serem condenados ao abate. 
1;ta vendo como as coisas não como vc pensava,, animais bem tratados e com acompanhamento veterinario 24 horas 
1;façam como a dona fez assistam tambem um rodeio ao vivo e vejam como são bem tratados os animais 
1;qual animal mal tratado vc viu ? 
1;conte nos o que viu,,qual o nome do animal mal tratado que vc viu 
1;com certeza tambem viu o touro de 312 mil reais 
1;parabéns pela iniciativa ana,aasim pode contar para outras pessoas que acham que animais de rodeio são maus tratdos que isso não existe..conte quantos veterinários estavam trabalhando nos fundos dos bretes para cuidar da integridade fisica dos animais,fale o que realmente viu. 
1;conforme o proprio depoimento da ana dos animais ele assistiu o rodeio de barretos,,que legal,assim ela pode ver como são tratados os animais de rodeio e deve ter visto que animal não tem seus testiculos apertados e nem foram feridos por esporas pontiagudas.. tambem deve ter visto como são saudaveis os animais de rodeio. 
1;parabéns ana dos animais,isso sim é uma iniciativa legal,,vc assistiu o rodeio de barretos pela internet,,assim pode ver como são saudáveis e bem tratados os animais de rodeio,,de seu depoimento dos animais que voce viu,assim voce estaria sendo sincera e verdadeira,,animais saudaveis com vida longa,e sem mal tratos nehum,,eu tambem estive por lá e amei o que vi . 
1;que legal,a ana dos animais assistiu o rodeio de barretos,,ta vendo como rodeio não mal trata animais,,viu como são lindos e bem cuidados os touros de rodeio,,bela iniciativa,todos deveriam fazer a mesma coisa,,viu como não existe os mal tratos que voce tanto falava. 
1;parabéns ana dos animais,,até enfim vc assistiu um rodeio legal e viu que rodeio não mal trata animais..parabéns pela iniciativa,,ta vendo como as coisas não são como os outros falam 
1;até que enfim a ana dos animais assistiu um rodeio,agora ela viu que rodeio legal não mal trata animal,,porque será que agora ela não deu o depoimento sobre o assunto 
1;demorou mas vc assistiu um rodeio,,viu como rodeio legal não mal trata animal..da seu depoimento agora,,fala sobre isso 
1;parabéns ana pela iniciativa de assistir o rodeio de barretos,,ta vendo como voce estava equivocada em falar que animais de rodeio são mal tratados,,viu como são lindos e saudaveis os touros e cavalos de rodeio..parabéns, 
1;isso sim foi legal senhora ana,,assistir o rodeio antes de falar coisas sem saber,,assim vc pode ver com seus proprios olhos como são lindos e saudaveis os animais de rodeio,,com certeza não era isso que vc imaginava. 
1;parebéns dona ana,,por ter assistido o rodeio outras pessoas devem fazer como a senhora,assim tambem poderão ver como são tratados e como vivem esses animais e verem como não existe esses tão falados maus tratos. 
1;alo barretão no final de semana estamos chegando novamente 
1;chega de mentira,,rodeio não mal trata animal 
1;a senhora ana dos animais assistiu o rodeio de barretos pela internet,,com certeza ela viu como são lindos e saudaveis os animais de rodeio agora falta vc cinderela !!! 
3;82.000 pessoas no show de gharth brooks 
1;que legal até que enfim assistindo rodeio,ta vendo como rodeio não mal trata animal,,aprendeu !!!!! 
1;suas ideias vem ao encontro dos anseios da sociedade brasileira hoje. 
1;você é retardada mesmo ou você faz força pra ser retardada? isso foi segunda feira, coloca ai de sábado com mais de 100 mil pessoas... e outra o que voce tem haver com publico presente?????? 
3;ahhh que legal até que enfim assistindo rodeio,,viu como rodeio não mal trata animal 
3;ta vendo ,,até que enfim assistiu um rodeio ,,viu agora como rodeio não mal trata animal !!!!! 
3;"e aqueles que só comentam "" rodeio é interesse financeiro e mals tratos"" caraa , see matem! vão embora do planeta , vão embora da vida meeu , eu não quero vocês vivos, amenos que se consertem saibam vocês são idiotas ! todo e qualquer tipo de esporte ou profissão . é visado pelos lucros e pelo retorno que isso trará. todos buscam fazer algo que amam e ser bem recompensado por isso. kkkkk em que mundo vocês vivem ? afinal ninguém vive de vento , todos temos que comer , se vestir. beber. enfim... claro que todos temos hobbies ou boas ações . quando ajudamos alguém que precisa, algum trabalho voluntario, ajudar algumas ongs ou projetos voltados para a sociedade sem querer nada em troca. cada um oferece aquilo que tem ....  agora mals tratos aos animais em rodeios? me poupe de vossa burrice. vao se informar e conhecer a verdade não saiam por ai gritando aos 4 ventos besteiras sobre o esporte, o condenando como se fosse algo terrível e completamente desumano, algo muito bom que gera empregos a centenas de pessoas ,barretos arrecada milhões ao hospital do câncer, parte de nossa cultura brasileira, etc. pelo simples fato de você não gostar ou não conhecer. entemdam que vocês são vistos aqui como pessoas burras e ignorante , alguém que não vale a pena trocar 5 minutos de conversa :@ mals tratos é o ** onde ?cadê ? mostra a estatística ? o documento que provê que montarias em touros e cavalos é uma tortura? podem ter certeza que se fosse mesmo tudu isso que alegam , o rodeio já não existia a muito tempo. um fato isolado não pode ser levado em consideração para banir os rodeios da terra. estamos entendidos ? que bom. "
1;nossinhora...!!! regassô os lazarento. esse é meu irmaozão. 
1;boiadeiros natos!!! 
1;boa noite muchachos !!! too por aqui ! tamu junto boiaderos (@) 
1;buenas, lemão véi diguerra! quarqué hora dessas vamos fazer uma roda de teréré, e cantá uns modão do tião carreiro e pardinho juntos com os amigos, boiadeiro. fica com deus. 
1;concerveja bruto !!! logo logo marcaremos sim... eu ocê e os companhiros aii do sim que toparem uma rodada de chop e uma frigideirada de traíra kkk . tamu junto los ermanos tardeee boa a todos do sim ! 
1;vamos parar com as mentiras,animais de rodeio não são mal tratados,,as pessoas não gostam de festa do peão e por isso querem que elas acabem.se soubessem como vivem e como são tratados esses animais e tambem soubessem para onde iriam se não fossem de rodeio,não falariam tanta besteiras,,esses animais não são como animais de circo que vão para algum zoologico ou santuario quando libertados,,esses animais vão para o abate,conheçam como vivem e como são tratados. 
3;quem não gosta deveria conferir de perto como vivem cavalos e touros de rodeio e para onde iriam se não fossem de rodeio,,vamos conhecer antes de criticar 
3;as pessoas tem o direito de gostar ou não de festas do peão,mas dai a falar que os animais são mal tratados está longe a conversa,,quem não gosta deveria pelo conhecer como vivem esses animais e para onde iriam se não fossem de rodeio 
3;é verdade,,as pessoas aqui falam sem nunca ter visto de perto como vivem e como são tratados e para onde iriam se não fossem de rodeio,temos que conhecer para depois dar depoimentos
3; e só conferir de perto deixei meus cavalos a disposição e vão continuar até dia 30 na festa do peão de barretos,quem quiser conferir de perto é so chegar e ver como vivem e como são tratados,com os proprios olhos 
1;também concordo,chega de mentira,rodeio não mal trata animal,conheçam antes de falar coisas como ,aperta o saco do animal,as esporas sangram,,vamos conhecer para depois falar 
1;realmente chega de mentira,,rodeio não mal trata animal,,antes de falar alguma coisa conheça de perto só assim poderá dar sua opinião 
3;chega de mentiras,,odeio não mal trata animais ? 
3;já quer você não tem nada o que fazer, vai secar gelo!! 
3;se quiser conhecer como vivem e como são tratados meus cavalos sera um prazer te apresentar. 
3;vc fala demais,nos mostre como voce cuida de seus animais,,queremos ver de perto,,mas vc se esconde atras desse gatinho,,nos mostre e sera um prazer te mostrar os nossos.quando e a hora que vc quiser 
3;deixe a gente ver como voce cuida de seus animais,,os nosso estão a sua disposição,,se vc morar perto de campinas posso até te buscar para voce não gastar com a viagem,venha vc ver como são tratados os nossos 
1;aaaaaaaaaaaaaooooowwwwwwwwwwwww barretaooooo... pega subindo porque descendo é contra mão... pena que isso aqui acaba domingo!!! 
1;num caba não, jhones véi xonado  paixão é infinita. prepare o borso pros pedágios, boiadeiro. setembro: 03 a 06 - festa do peão de rinópolis/sp 03 a 06 - rodeio de astorga/pr 03 a 06 - rodeio de boituva/sp 04 a 06 - expobom em bom despacho/mg 04 a 09 - rodeio de itu/sp 10 a 13 - ibirarema rodeio fest em ibirarema/sp 17 a 20 - festa do peão de pompeia/sp outubro: 08 a 11 - rodeio de taguaí/sp 08 a 11 - rodeio de assis/sp 22 a 25 - rodeio de candido mota/sp novembro: 05 a 08 - rodeio de guaimbê/sp 12 a 15 - rodeio de taquarituba/sp 13 a 16 - rodeio de nova olímpia/pr 18 a 21 - final ekip rozeta dezembro: 10 a 13 - rodeio de trindade/go 17 a 20 - festa do peão de quintana/sp 
1;ta faltando à expoclaudio ai que inicia os trabalhos amanhã! 
1;e voce sabe para onde eles irão se forem para o rodeio ? 
1;kkkkk . não quero chingar ninguém hoje . 
3;o rodeio não maltrata os animais muito pelo contrario a maior parte das pessoas que criticam moram na cidade grande nunca viram um rodeio de perto e se deixam levar por boatos e acabam tirando conclusões erradas o rodeio gera milhares de empregos shows não teria nem 50 % deles se não fosse as festas de peão na cidade grande vocês tem cinema,teatro,parque de diversões,shoping center a maioria das cidadezinhas do interior só tem o rodeio uma vez por ano vocês viram quanto o rodeio de barretos vai fazer de doção ao hospital de cancer ? já viram alguma outra festa fazer o mesmo ? vocês costumam dizer que pessoas do interior são ignorantes mais ignorantes são vocês 
1;tem como curtir mil vezes? 
3;cerveja...? onde...? onde...? cadê...? tô dentro!!! 
3;absurdo é as pessoas viverem na cidade grande e achar que são melhores que nós do interior que cultura é teatro cinema. aqui no interior rodeio é cultura sim e tem que ser patrimônio cultural sim pra ter respeito sim sempre 
1;sim sempr 
3;siiiim..., com certeza!!! só aquí  21 mil, por enquanto. 
2;“mantenha-se afastado das pessoas que tentam depreciar sua ambição. pessoas pequenas sempre fazem isso, mas as realmente grandes fazem você sentir que você, também, pode se tornar grande.”  (mark twain) 
1;me diga sra. o que é cultura pra você? me desculpe minha ignorância mais você mal sabe quantos anos tem o brasil sem procurar no google , quem dera algo como património cultural ! 
1;aow... fitz, boiadeiro bruto igual pisão de marruco  garrando firme nas chaienes do barretão, aí na 43, hein? tô ligado! eu não posso (jabulaine tá na minha cola  mardiçuenta). cuidado com a pensão-alimentícia depois, véi, kkk. feliz por seu retorno  irmaozão, prepara o guatambú, por que num vai fartá lombo, pra nóis dibuiá. 
1;“nunca discuta com pessoas burras, elas vão te arrastar ao nível delas e, ganhar de você, por terem mais experiência em serem, ignorantes.” (mark twain) 
1;e, por falar em jesus..., gênesis 1:28. 
2;"cara, quando você falou ""buda"" kkkkk biiiiiiiiii biiii foge pula pra fora sua vida não faz sentindo. sai dai ! deus criou os animais para interagirem com a gente, e nós servirem de alimento . ponto final. se você não crê em deus não vou entrar em uma discussão religiosa com você. mas saiba, você está errado se acha que seu ponto de vista está certo. "
1;chega de mentiras,rodeio não mal trata animais 
5;https://www.facebook.com/rodeiotrataenaomaltrata/videos/vb.1659171600980514/1676663455897995/?type=3&theater isso é pros que se dizem defensores...quer defender os animais? vem pro rodeio, pk aqui siim a gente se importa com o bem estar animal.agr, kd as marcas da esporas? kd as marcas do seden? kd os testiculos apertados? ks o stress animal? quero ver qual outra mentira q vcs vao inventar agr pra ganhar ibope, pk criticar oq os outros fazem e dedicam a vida éfacil, mas levantar o cu do sofa e fazer algo de util ninguem quer ne!!!
1;realmente,chega de mentiras quem não conhece deveria conhecer como vivem e como são tratados animais de rodeio 
1;gente,até quando ainda vão achar que animais de rodeio são mau tratados,,conheçam de perto e confiram como vivem e como são tratados esses animais 
1;essa historia de naus tratos ja não existe mais desde 2002 quando foi lançada uma lei que protege eles de maus tratos,conheçam o rodeio moderno,animais saudáveis e com vida longa 
1;animais tratados com muito carinho,,a era do sofrimento ja foi a anos 
1;infelizmente barretos atingiu record de publico novamente mais de 72.oo mil pessoas em apenas uma noite 
2;e vc cuida como de seus animais,,varias pessoas que quiseram ver ao vivo e vc se esconde,,vamos trocar conhecimento nos mostre como cuida dos seus e teremos o maior prazer de te mostrar como cuidamos dos nossos 
1;infelizmente voce fala sem conhecer. 
1;é uma pena,mas voce não sabe o que está falando. 
2;rooonc...!!! zzz... 
1;eu ainda entro nesses links seus só para rir das bobeiras que voce coloca aqui... mas esse ai é tão ruim que não deu nem pra ver o que é, só tem a mensagem dizendo que à página talvez ja tenha sido removida, e deve ser de tão absurdo que era que foi excluída kkkkk 
1;cultura,cada um tem a que gosta ou a que foi criado,devemos respeitar as diferenças 
1;muitas pessoas falam coisas sem conhecer de perto,,conheçam como vivem esses animais e se surpreendam 
1;esta acontecendo em barretos a segunda maior festa do peao do mundo e essa é uma otima oportunidade para quem não conhece conhecer de perto,como vivem e como são tratados animais de rodeio 
1;deixei meus cavalos a disposição na festa do peão de barretos,para quem quisesse conhecer de perto,como vivem e como são tratados e ninguém apareceu para conferir,,ainda estaremos por lá no proximo final de semana e convite ainda esta de pé 
1;valeu povo sertanejo que compareceu em massa na maior festa sertaneja da america latina,,essa semana tem mais 
1;valeu capitão augusto seu nome foi lembrado com muito carinho na maior festa sertaneja da america latina,barretão e a festa continua 
1;quem acha que animal de rodeio é mal tratado deveria dar um pulo até barretos ainda da tempo a festa vai até dia 30,,acabei de chegar de la e vi animais saudáveis e com vida de atletas,,vale a pena conferir de perto 
1;quem não gosta deveria pelo menos respeitar,,passaram por barretos nos quatro dias 287.000 mil pessoas,então tem muita gente que gosta 
1;"o touro três namoradas, da cia. de rodeio, euripinho sollo, conquistou os títulos de, touro do ano e, melhor touro da etapa de barretos  tudo isto, por ter derrotado em menos de 8 segundos, os competidores que ousaram tentar, montá-lo  detalhe, sem sofrer nenhum arranhão. já retornou para a fazenda, com a fivela de touro campeão brasileiro 2015. agora é só, pasto farto, água fresca e, assédio das pirivacas. vocês nem imaginam a emoção que sente um boiadeiro, quando seu animal, (não gosto do termo, animal) , recebe uma homenagem dessas  é, como se fosse um filho, no dia da formatura. onde nesta vida  abençoada por deus, um animal teria um tratamento tão diferenciado como este? méki...? (leia-se, mcdonalds), gauchão grill? ..., montana grill...? espetinhos do zé gato? the maringá's foods, ou, em ""outros destinos""?. "
1;e onde vc viu um animal de rodeio sentir dor ?? 
1;porque vc não fala isso das olimpiadas,,por la tambem usam animais em provas equstres 
1;e onde vc viu algum animal trabalhar com dor 
5;https://www.youtube.com/watch?v=xq_glqc5n8q segue ai para quem e contra o rodeio #rodeiopatrimoniocultural 
1;quem vota para acabar com os rodeios deve também parar de comer carne, questão de coerência de pensamento e cultura. 
1;que conversa fiada!! ou é menino mimado demais, desde quando alguém vai gastar dinheiro com alguma coisa pra ficar de enfeite no pasto!? 
1;verdade, existem outros destinos para os animais: os cavalos iriam jogar futebol, os touros iriam lutar ufc  e, os burros continuariam aquí, votando não  influenciados pelos veados. 
2;oh seu babaca e voce sabe qual outro destino para gado de corte se não for abate ???? 
1;e para onde vc mandaraia os animais mestiços,animais esses que fazem parte de um rebanho de 210 milhoes de cabeça. 
1;primeiro, não sou seu colega  jamais serei, (gosto de esfiha aberta, não de kibe, aargh! deusulivre), segundo, não me encha o sacomeu, ops, saco meu, sacomana  porque hoje ..., eu, estou numa ressaca desgraçada..., por causa da festança de ontém no barretão, sabe como que é, a gente não está acostumado com a bebida...tsc. menina, fartô ocê lá, fia, prá falar na cara dos boizinhos, que ocê quer acabar com o rodeio, prá mó deles se lascarem na marreta da friboi  com certeza ocê iria levar uma chifrada, bem na alça de mira, onde ocê gosta que o f. pol, brinca, com o dardo. agora me dá licença, que eu preciso pedir prá minha mulher, me trazer um engov..., aai..., nunca mais eu bebo...!, só sábado que vem..., no barretão, de novo! 
1;menino mimado criado em apartamento!! 
1;ele também não concorda tomar uma marretada na testa e virar comida ou churrasco. 
1;"obrigado!!! garth brooks!""we call them strong those who can face this world alone who seem to get by on their own those who will never take the fall"". (standing outside the fire) "
1;apoiado e não tem maus tratos animais, zé povim que não sabe de merda nenhuma e fica falando o que não deve se funk é cultura e rodeio moda raiz e não é cultura, brasileiro é o diabo essas praga tão tudo fudido sem cultura... 
1;apoiado, eu também . por isso que sou contra vaquejada, tourada, laço de bezerro, rinha de galo, briga de cachorro, etc..., só gosto de rodeio em touros e cavalos, por que, quem se lasca, é, o homem. 
1;respeitando a opinião de quem pensa ao contrário,mais eu apoio essa iniciativa.
1;parabéns  humildade. 
1;"é hoje!!! boiadeirada do brasil  que nós vamos sapatear um country-rock, misturado com catira, no show do garth brooks, no rodeião de barretos  para arrecadarmos uma bolada $$$$$$$$$, para o hospital de câncer  graças ao ""sacrifício dos pobres animais indefesos"". "
1;somos mortos todos os dias, por culpa de pessoas que pensam como o sr.  são contra rodeio, más favoráveis a legalização de drogas  contrários a redução da maioridade penal, alteração do código penal..., e por aí vai. 
2;fake è, a sua vida pervertida, sacomina  que se permite que seu anorretal seja empaletado, matando o pai de desgosto, falando mau dos mèdicos brasileiros, favorável ao escracho da santa imagem de cristo, defendendo legalizaçaõ de drogas, nas redes sociais  isto sim é fake moral, guria. 
1;o cowboy? não vi nenhum cowboy ai não, si dizer que foi cowboy em um vídeo qualquer é muito fácil, ou então só si foi em rodeio no fundo do quintal da casa dele.... mesmo assim ele tem mais cara de quem mija sentado do que cara que monta em touro!! 
1;acho que vou concordar com você... vamos meter a marreta na testa de todos e levá-los as mesas para servirem de comida... a aaa você sabia que pra matar um touro primeiro dá lhe uma marretada na cabeça para que ele desmaie... e depois perfurar seu coração.... realmente vamos so fazer isso... porque é isso que um touro quer.. si ele tivesse o direito de escolha concerteza iria escolher viver apenas um ano e morrer dessa forma ao invés de pular em rodeios e morrer de velhice!! é a mesma coisa vocês sao racionais mas preferem ser animais irracionais! 
1;amarrando? espetando? dando choques?, no nosso maior patrimônio que é o touro, ou o cavalo  jamais. acho que a senhora deve viver na espanha  aqui no brasil não existe isto, só se for em algum rodeinho de periferia, e no caso, cadeia neles, é pra isso que existem as leis  a polícia, o ministério público, etc  ou a sra. acha que as autoridades não estão atentas a respeito?. as questões referentes ao sedém e, as esporas já foram desmistificadas pela própria imprensa, chatice ficar esclarecendo isto, todo o tempo. 
1;estou aqui argumentando como acadêmica de medicina veterinária, por gostar da prática e sempre querer saber mais sobre assuntos que interferem na sociedade. algumas pessoas que hoje se colocam contra a prática do rodeio não faz ideia do que está por trás de cada profissional que ali está envolvido. então desde já, peço aos que ainda não procuraram saber sobre o assunto, que leiam artigos, matérias em revistas conhecidas e de credibilidade, que ouçam veterinários que lidam nessa área, já que a medicina veterinária é tão vasta e depois dê o parecer. o rodeio é uma cultura muito antiga e muito bonita, que deve ser respeitada. 
3;gênesis 1:28, se deus é por nós... 
1;quem ainda acha que animasi de rodeio sofrem maus tratos essa é uma otima oportunidade de conhecer de perto,barretos de 20 a 30 de agosto 
1;todas as pessoas que criticam aqui ainda acham que animais de rodeios são mal tratados,,deveriam perder um tempinho e conhecer de perto,ja existe uma lei que protege eles de maus tratos desde 2002 
1;vamos conhecer de perto antes de criticar,,meus cavalos estão a disposição para quem quiser conhecer como vivem,como são tratados e como são transportados 
1;quem critica é porque não conhece e ainda acham que animais tem seu saco apertados,,vamos conhecer de perto !!! 
1;valeu capitao,,o povo sertanejo está do seu lado 
1;definitivamente,,quem não não gosta é porque não conhece,,pessoas ainda falam que animais tem seus testiculos apertados e sofrem torturas,,vamos conhecer !!!! 
1;pessoas antes de falarem,deveriam conhecer,,ainda acham que animais tem seus testiculos amarrados,,conheçam,informem se aprendam. 
1;esses eco chatos são um retrocesso total... esquerdosos olham mais pra um bicho de quatro patas que pro próprio pai e mãe se duvidar. 
1;só no show do gharth brooks ja foram vendidos mais de 82 mil ingressos e toda a renda sera revertida para o hoepital do cancer,,e voce faz o que para ajudar alguém 
1;fica tranquila,,não vamos para o rodeio,,voce ganhou,,ja estamos trocando o rodeio por bailes fanks. 
1;"e aí aninha sonhadora, tudo bem? saudades. as provas de laço, que eram realizadas no rodeio de barretos, não foram retiradas da programação do evento por ""vocês"", como cita a senhora  por que não existe lei específica que proíba a tal modalidade, naquele município  mas sim, por iniciativa do próprio clube os independentes, organizadores do rodeio, por entederem que, a modalidade é prejudicial à integridade física do animal, o que eu também concordo em grau e gênero. quanto a tão almejada ''vitória"", como a senhora pretende revogar as leis, 10.220/2001, e, 10.519/2002? golpe militar, ou panelaço? "
1;"kkkkk é muita conversa fiada! ""as lacadas já tiramos "" você não moveu uma palha para isso muito menos para ajudar hospitais! em relação dar uma olhada na votação, como eu ja disse essa votação porque não tem valor decisivo, si tivesse os grandes nomes do rodeio fazia campanha e já teria milhões de votos à favor!! "
1;cê tá meio pálido hein fio? vem prá barretos, tá um solzão da hora. esclarecendo que, nós, peões da velha guarda, não reconhecemos prova de laço como rodeio, esta modalidade se chama prova funcional, e já foi banida de nossos eventos, também lamentamos o fato de, essa tal de vaquejada nordestina, ter sido incluída no projeto do capitão augusto  não gostamos nem apoiamos essas práticas, esperamos que, elas sejam vetadas no decorrer do processo. rodeio no nosso entendimento é, montaria em touros e, cavalos, animais de grande porte, saudáveis e aptos para o pulo, que na maioria das vezes, se sobrepõe ao homem durante as provas. quanto as esporas, são ronbudas, ou seja, sem pontas para não ferir o animal  sua função é, dar estabilidade e, equilíbrio durante a montaria. 
1;outro doente mental que sai repetindo coisas que desinformados falam, ta igual mariquinha falando coisas sem saber!!! 
1;ô pingaiada do campo dos alemães  se você não gosta tudo bem, é um direito seu, acesse aquí, e vote não, mas não precisa ofender os outros, pois terá o troco à altura bicha véia. pois saiba que as éguas não tem testículos, e pulam melhor do que os cavalos, seu burro. 
1;copiou da adalberta, não tem criatividade para comentar  volte a analisar as privadas da gm. 
1;não tenha medo de pensar diferente dos outros, tenha medo de pensar igual e, descobrir que todos estavam errados! (eça de queiroz) 
1;sr. analista não-sei-do-quê , metido a crítico de rodeio, acesse g1- globo.com (festa do peão de barretos), e veja onde o sedém fica amarrado tónho, sem nenhum contato com os testículos. 
1;quanda ignorancia,,onde e quando voce viu algum animal com o saco apertado ? 
1;por causa de pessoas como voce que pais não anda,,onde e quando vc viu um animal ter o seu saco amarrado,,conheça,informe-se aprenda,,para depois dar sua opinião 
1;quanta ignorancia de falar que esses animais tem seus testiculos amarrados,,informe se ,aprenda,,e gua e touro castrados nem tem testiculos 
2;doente mental que sai repetindo coisas que desinformados falam, ta igual mariquinha falando coisas sem saber!!! 
2;"sujeito feio e burro, não sabe nem a qual sexo pertence  colocou femenino no perfil, kkk, e ainda quer entender de rodeio. o sedém vai na virilha, e não no testículo, estúpido. ""adalberta''. "
