cla 3	 mensagem
1	Parabéns capitão Augusto por lembrar do povo sertanejo,,estaremos esse mes na segunda maior festa do peão do mundo e com certeza lembraremos eu nome por lá
1	Parabéns Capitão Augusto,estaremos no segundo maior rodeio do mundo em barretos e com certeza seu nome vai ser bem lembrado por lá
1	Muito obrigado capitão augusto esse projeto realmente é voltado para pessoas mais simples,pessoas essas que ficam esquecidas no brasil,,realmente se o povão que gosta de rodeio soubessem votar ou ficassem na internet o dia inteiro,,essa votação ja tinha chegado a milhares e milhares,só na festa de barretos ja foram vendidos mais 180 mil ingressos ,acredito que passarão por lá mais 500 mil pessoas nos 10 dia de festa e com certeza seu nome será bem falado por lá.eu estarei por lá e com certeza serei um dos maiores divulgadores do seu nome.
1	Parabéns capitão Augusto,, cutura cada um tem a que gosta ou a que foi criado e é essa é a nossa cultura,quem não gosta deveria ao menos respeitar quem gosta.
1	Voce tem razão Ana dos Animais e haroldo Girafalles,melhor sair do que falar besteiras e coisas sem conhecer,,faça um favor ,,vá procurar sua turma ou vá aprender como vivem,como são tratados e para onde iriam os animais se não fossem para o rodeio.
2	Só na sua cabeça de vento,,os que estão vivos tambem serão abatidos ,,voce tem noção de quanto custa cada cabeça por mes para seus proprietários,,e quem gastaria tanto dinheiro com animais parados,,seria bom se fosse real..as propriedades rurais dão pouco lucro e as despesas tornariam cara demais..voce não entende nada desse mundo,,sai fora vai procurar sua turma..pra mim voce é uma pessoa solitária querendo atenção e achou essa atenção com os cowboys,,mas saiba que tem outras maneiras de ganhar atenção,não precisa ficar o tempo todo falando mal do rodeio,,converse outras coisas,daremos a atenção que voce quer sem brigar.
2	Haroldo a questão ai é diferente meu caro ou você é burro de verdade ou se faz, ninguém cria um animal de uma tonelada por que acha bonito é obvio que os que o fazem usam esses animais para algo, no caso dos tropeiros são animais de rodeio. Caso o rodeio não exista mais, os tropeiros não teriam mas motivo e nem condições para manter esses animais que seriam abatidos.
2	oh cara vai procurar o que fazer maluco,,sai fora ,,se voce não gosta.procure para voce o que voce gosta,,no meu caso eu gosto,eu adoro ,eu amo,e não é problema seu se é cultura sua ou não,,procure sua turma,deixe os outros em paz,,vire homem e pare de se entrometer onde não é chamado,se não gosta é só não ir,,as festas de peão não são feitas para pessoas como voce,,voce muito delicadinho para gostar desse tipo de festa.vai fazer alguma coisa,,olha ai nesse site só da vc,,não trabalha não..cuide da sua vida ..vai trabalhar !!!
2	Energúmeno, a sua opinião eu quero que se foda, o que importa é que tem Marruco pulando alto, tem moda boa , tem cerveja gelada e tem diversão , VIVA os Rodeios e VIVA as Festas de Peão!!!
2	Concordo contigo energúmeno não são todas as pessoas que vão na festa de peão por causa do rodeio, cada um elege como evento principal aquilo que acha melhor na festa de peão, na minha opinião e sei que de mais um monte de gente o evento principal é o rodeio.
2	o professor girafales volta pra Villa, vai cuidar da dona Florinda e dar aula pro Chaves.
2	o único imbecil, retardado, doente mental aqui é você, como eu já disse em outro comentário, todos os os rodeios os quais eu frequento inclusive Barretos, não cabe o público dentro das arenas devido o público ter crescido muito, para de conversa fiada ze ruela, papel ou Internet aceita qualquer informação, mesmo que falsa.
2	Olha a pessoa que usa até o nome falso voltou,,o que vamos esperar de uma mulher que usa nome de homem.
2	Talvez voce realmente não conheça nada de animais,,tenho alguns cavalos em minha propriedade que fazem prova dos 3 tambores em rodeios, e se quiserem conferir de perto como são tratados as portas estao abertas para voce e qualquer outro que votu não,,não vou parar de criar esses animais só porque quer,,quem é voce ? o que faz para ajudar animais e pessoas carentes ?? então não venha voce falar que todos os animais são mau tratados.. com certeza voce não vai vir até meu sitio pois como uma mulher com nome de homem iria se apresentar. acho que voce deveria cuidar mais da sua vida antes de ficar falando coisa sem saber,,se voce não gosta é problema seu interagimos com animais a milhares de anos,,no meu caso desde de criança e gosto do que faço,,não vou na sua casa te falar do que voce tem que gostar,imagina se eu fosse ai te falar o que voce tem que fazer ou para voce conviver com cavalos o dia todo,com certeza voce não iria gostar..então vamos respeitar quem gosta,,somos livres ou tambem esqueceu disso.
2	e você girafales tem praticado muito a pesca esportiva? fico pensando como é mutilar a boca de um animal e depois soltar dinovo sem saber si ele vai conseguir sobreviver, conte mais um pouco de pesca esportiva pra gente.
2	e voce faz o que para ajudar animais ou humanos carentes ??? então vai cuidar da sua vida se não gosta aprenda a respeitar quem gosta.. se quer ajudar vá a africa ajudar crianças que estão comendo barro com agua e sal,ou vá no nordeste onde animais se alimentam apenas de palmas..cada um tem a cultura que quer..se voce gosta ou não é problema seu,,ninguem vai na sua casa te falar como e onde voce tem que viver.
2	mas infeslizmente não é como voce quer,,muitos animais são usados em muitos esportes diferentes,,joguei clube,polo,corrida de cachorro,corrida de camelo,esportes com cachorros e etc.. se não gosta respeite quem gosta,interagir não é mal tratar o que conhece voce do mundo animal ??
2	São babacas preconceituosos e invejosos como esse que votam NÃO
2	Ala mais um vez o babacão ficou sem argumentos e apelou para ofensa e piadas da 4ª série, vamos la cara vamos debater o que faz o hipismo um esporte diferente do Rodeio.
2	o Adauto vamos perder tempo com esse doente mental não, o Adauto mas aqui nas cidades de MG onde frequento si voce chegar as 8 horas ja não si consegue ver os rodeios porque as arquibancadas ja estão lotadas... quanto ao doente mental ai, quando citamos fatos verídicos ele não comenta é ai ja faz outro comentário acima com uma nova besteira.
1	A evoluçao natural nos ensinou a respeitar as diferenças dos humanos,,evolua voce tambem e respeite os gostos alheios.cada um gosta do quer,,existem homens que gostam de homens,mulheres que casam com mulheres,uns gostam de drogas ,outros de bebida,uns comem carne outros soja,,e voce tem o que com isso ??se evolua e aprenda a cuidar da sua vida.
2	La vem a idiota de novo que deve amar os peoes,,ta vendo que não vai mudar a opinião de ninguem por aqui,,gostamos de interagir com animais sua babaca e não vai ser voce que vai mudar,,canadá,australia e EUA,são muito mais desenvolvidos que o brasil e também existem rodeios,inclusive os maiores do mundo,,nas olimpiadas existem esporte com animais,,as corridas de cavalos e cachorros tambem usam animais, e voce vai encher o saco de alguém..cuida da sua vida ,,se quer ajudar,ajude quem precisa de verdade.pare de ser babaca e usar nome de homem,,olha bem para voce é uma mulher que quer usar nome de homem,,talvez queira ser homem e alguem fica te criticando..cada um faz o que quer até mesmo ser uma mulher e querer ser homem,,é problema seu.
2	A idiota voltou,,uma hora como Ana outra como Haroldo,,nem seu nome sabe direito,nem sabe se homem ou mulher,,vai cuidar da sua vida,, se quer ajudar animais comece pelo sertão do nordeste lá morrem milhares de fome todo ano,,voce ja foi lá ajudar algum ?? ,Ja foi nas olimpiadas tambem falar para eles libertarem os cavalos de salto ou nos jogueis pedir para libertarem os cavalos de corridas,,foi também nos campeonatos de cross country que usam cachorros,,então vá,,la tambem existem animais que precisam serem libertados.
2	Babaca!
2	Vergona é uma pessoa ficar querendo que as outras vivem como ela vive,,cuide da sua vida e aprenda voce a respeitar s diferenças,, não é voce que vai definir o que cada tem que fazer.. cuide mais da sua vida e deixe a dos outros em paz,não é voce falando que vai convencer alguém a gostar do que voce gosta.saiba respeitar as diferenças..todo mundo ja percebeu que seu problema não é o animal e sim as festas de peão..se gosta de ajudar animais comece pelos que precisam de verdade,os de rodeio ja são muito bem tratados.
