Opinião; mensagem
3;EUA,Candá,Australia são mais desenvolvidos que a gente,tambem, tem muito mais cultura que a gente e os rodeios são liberados e os maiores do mundo porque será que só aqui as pessoas querem proibrir
2;Pessoas que nunca viram um animal de rodeio de perto vem aqui e falam que eles tem seus sacos apertados e outras barbaridades,vamos conhecer antes de falar coisas sem saber.
2;As pessoas vem aqui quererem proibir a gente de montar em touro,,deveriam se preocupar com outras coisas que estão precisando de muito mais ajuda,essa semana uma pessoa foi morta e colocaram fogo no corpo dele ainda vivo só porque era um policial militar,outro jovem foi morto no ponto de onibus por conta de um celular,,não são os touros que estão precisando de ajuda eles ja mais bem tratados do que muitos humanos nesse pais.
1;é isso capitão,fiscalizar sempre,proibir nunca
1;Animais de rodeio sao tratados como astros,ninguem maltrata um astro,conheçam antes de criticar
4;Vc conhece de onde os touros de rodeio,de qual boiada,de qual proprietario.
2;Foi adquirido a 3 meses atraz um touro chamado boca quente do andre de mogi para o senhor ricardo bento por 312 mil reais,,vc sabe como ele esta sendo tratado,,vai cuidar da sua vida tira essa toca horrivel da cabeça e pare de dar palpite.
2;Oh, sua ridicula onde voce conheceu um touro de rodeio de perto ??
2;Onde e e em qual fazenda voce conheceu um touro de rodeio de perto ??? se não conhece vá aprender,ou cuide da sua vida não vamos na sua casa te falar do que voce tem que gostar ou deixar de gostar se não gosta respeite quem gosta.
2;Onde voce viu um touro de rodeio de perto ??????? se tivesse visto não faria esses comentários idiotas que voce fez,falar coisas sem saber também é ignorãncia,muitos animais ganham até sepultura se voce não sabe,,tira esse toca ridicula que ela deve estar atrapalhando seu cérebro .
1;Muito obrigado Capitao Augusto pela visita em nosso Rodeio,,seu nome sempre sera lembrado com muito carinho pelo vo sertanejo
4;Conheci uma fazenda em botucatu do ricardo bento da cia 3B que mantem um asilo para todos os touros aposentados,,quem quiser conhecer é só chegar em botucatu e procurar a fazenda da 3 B
2;Mai uma pessoa morta por um aparelho celular no brasil e pessoas ficam discutindo sobre rodeio,,com certeza não sao os animais de rodeio que estão precisando de proteção eles ja são muito mais bem tratados do que muitos humanos por aqui
2;Pessoas aqui falam pra proibir o rodeio porque é atraso da humanidade e o que é evolução ? essa semana foi colocado fogo em policial ainda vivo no rio de janeiro,isso seria a evolução da humanidade ?
1;Rodeio cuida,rodeio trata,conheçam antes de criticar
2;vai te catar florsinha,faz alguma na vida e para de encher o saco dos outros
2;seu babca cad um come o que quiser e em sua homenagem vou matar um carneio só pra fazer um churrasco
6;porque voce não vira presidente do pais com suas ideias sensacionais quem sabe voce não consegue melhorar esse pais.
3;se voce gosta de animais então vai atras de ajudar aqueles que realmente estao precisando de ajuda,no nordeste do brasil morrem milhares de fome todos os anos.
2;ja te dei meu endereço seu bosta é só me falar quando e a hora que quiser voce ode vir no meu sitio ja te passei até meu apelido sai de baixa da sai da sua mae e vem pra cá.
2;voce é um frutinha criado com avó rapas vem aqui no meu sitio que te ensino alguma a coisa do campo
2;o seu bosta vou te falar pela ultima vez moro em amparo e meu sitio é bem na entrada da cidade meu apelido é paulao calanchue todo mundo me conhece por aqui seu merda quando quiser conversar olho no olho de perto é so chegar aqui.. não sou que me escondo de baixo da sai da minha mae.
2;esse luis paulo alem de não gostar de festa do peão,tambem quer obrigar a gente comer o que ele come,cada um come o gosta ou o que bem entender,nao comemos com o dinheiro dele,como carne e vou continuar comendo ate quando eu desejar.
2;Eu estava esperando voce voltar seu frutinha,,ja te falei onde moo e meu endereço,,resolveu virar homem,,quer que vou te buscar para passar uns dias em casa.
3;Se voce é real venha até minha propriedade conhecer meus animais,pago toda sua despesas,,ja te dei meu nome apelido e endereço,,pare de ser babaca e frutinha venha conhecer como vivem de perto esses animais e outros tambem,porque os que não são de rodeios são devorados.por humanos carnivoros.
2;cuide da sua vida,,vire homem ou continue assim tambem não temos nada com sua vida cada um faz o que quer da sua vida.
2;Cuida da sua vida rapaz,,se não gosta de festa do peão noa vá,,vá atráz de coisas que voce gosta.
2;cada um come o quer seu idiota
2;Como carne todos os dias e vou continuar comendo não compro com seu dinheiro seu otario
2;venha viver como homens de verdade seu comedor de plantas venha para minha propriedade que mato um carneiro pra gente fazer um bom churrasco.
3;somos o terceiro maior produtor de carne do planeta,,só porque o LUiz Paulo não quer ,vamos parar de criar animais para o abate,,ta bom assim
4;para de tomar remedio estragado e desce para realidade
1;rodeio não maltrata animal,conheçam antes de criticar
2;1.2oo carros são roubados por dia no brasil,uma pessoa é assassinada a cada 10 minutos,15 crianças são vitimas de violencia a cada hora no brasil e as pessoas vem aqui quererem acabar com rodeios,,com certeza não são os touros e cavalos de rodeio que estão precisando de proteção muitos levam vida de astros e se aposentam sem morrerem por algum frigorifico da vida
2;Como quanta carne eu quiser crio e abato meus proprios animais ,não é da sua conta noa vivo com seu dinheiro.
2;Como boi,carneiro,galinha,porcos,peixes,javalis,patos e etc. e o que voce tem com isso se voce quiser comer samanbáia , flor do campos ou silo o problema é seu cada um come o que gosta,tem gente que come inseto,cachoorro,escorpiao
1;RODEIO LEGAL NÃO MALTRATA ANIMAL,OS MEUS ESTÃO A DISPOSIÇÃO PARA QUEM QUISER CONHECER
2;No mundo inteiro pessoas se interagem com animais,em trenós,corridas de cavalos,cachorros de guerra,exposições,polo,hipismo,cavalaria,porque não podemos montar em touros,,eles não tem seus testiculos apertados como muita gente imagina e são mais bem cuidados do que muitos humanos nesse país
1;Valeu Capitão Augusto pelas visitas nos rodeios,espero que esteja gostando das recepçoes
2;A cada 5 minutos uma mulher é agredida no brasil dentro da sua propria casa e as pessoas vem aqui querer acabar com os rodeios,,não são os touros e cavalos que estão precisando de proteção eles ja são muito bem cuidados
3;Segundo o IBGE 7,2 milhoes de pessoas passam fome no brasil ,e o Brasil manda 65 mil toneladas de alimentos para cuba e ainda vem voces querendo proibrir agente de montar em touros,, com certeza não são os touros de rodeio que estão precisando de ajuda eles ja são muito bem bem cuidados,,vão se preocupar com outras coisas,,os animais de rodeio são mais bem cuidados que muitos humanos nesse país.
2;cada um come o quer seu babaca,,nao vamos na sua casa te falar o que voce tem comer.
2;Pessoas por aqui falam coisas que nunca viram de perto e ainda chamam os cowboys de ignorantes,,antes de falar vamos conhecer de perto pra depois falar. falar coisas sem saber também é uma ignorancia
4;Onde voce viu um animal de rodeio de perto,onde voce viu um animal de rodeio sofrer ??
1;Obrigado pela visita em nosso evento Capitão,espero que tenha gostado da recepção
1;Parabéns a todos os organizadores do 24º Socorro Rodeio Festival 2015,toda a renda da bilheteria revertida para a santa casa de socorro, enquanto muitos criticam o rodeio ajuda.
1;parabéns aos organizadores da festa do peao de barretos 2015,mais de 15 milhoes arrecadados para o hospital do cancer.
1;G1 da globo ! rodeio é o maior patrocinador do hospital do cancer de barretos
1; Valeu Capitao estamos te esperando na Expo Artur 2015
1;Parabéns capitao,cultura cada um tem a quer ou a que foi criado
1; COMEÇA ESSA SEMANA EM LAS VEGAS A GRANDE FINAL DA PBR, UM MILÃO DE DOLARES PARA O CAMPEÃO E 150 MIL DOLARES PARA O MELHOR TOURO PORQUE AINDA ACHAM QUE ANIMAIS DE RODEIO SÃO MAU TRATADOS
3;Touro Boca Quente do André de mogi vendido para o senhor Ricardo Bento da Cia 3B no ultimo leilão das estrelas por 312 mil reais e ainda dizem que eles tem seu saco apertado que sofrem maus tratos e etc....
3;Onde e quando voce viu,qual o nome do animal,qual o nome do proprietario,,foi vendido a alguns dias um touro chamado boca quente e adquirido pelo senhor ricardo bento da cidade de sao paulo por 312 mil reais quem mau trataria um animal de 312 mil reais,,animais esses que seriam mortos se não fossem de rodeio.vá procurar sua turma,conheça antes de falar.
3;Onde , quando e em que lugar voce viu de perto um animal de rodeio nos diga o nome do proprietario ou do evento que voce viu um animal sendo mau tratado,,vai procurar o que fazer,antes de ficar falando coisas sem saber. cuida da sua vida.
1;Rede globo acaba de informar,,rodeio maior patrocinador do hospital do cancer Rodeio ajudando vidas.Conheçam antes de criticar
2;Moramos em um pais que pessoas estao sendo mortas por uma bicicleta,outras por uma bolsa,,pessoas não podem mais tomar banho de mar que levam arrastoes e voces vem aqui proibir o rodeio,vão procurar outra coisa pra fazer,não são os touros que estao precisando de proteção eles ja são muito bem cuidados.
3;Animais de rodeio levam vida melhor do que muitos humanos nesse pais,conheçam,informem se,aprendam !
2;Homens se interagem com animais o tempo todo no mundo inteiro,porque não podemos montar em touros,usam se cachorros nas guerras, nas policias e etc,,nao apertamos o saco do touro como muitos pensam,conheçam antes de criticar
2;Os animais que não são de rodeio trabalham no campo 10 vezes mais que os de rodeio,em carroças,charretes, arados,carros de boi,na lida com o gado,cavalgadas,conheçam antes de criticar.
2;Onde e quando voce viu um animal de rodeio ser mau tratado.
3;Onde é que voce conheceu um animal de rodeio de perto,os meus estao a sua disposição para conhecer o dia a dia deles,,posso te garantir que trabalham muito menos do que os não são de rodeios
4;e ai galera, tranquilo?
2;Nesse pais ninguem respeita nada por isso que ta essa bosta,gente matando por um celular,bandidos matando policias todo dia,,temos que entender que o que é cultura para uns ,não cultura para outros,mas temos que respeitar as diferenças
2;o que pode ser absurdo para voce não é absurdo para nos,,não sabemos do que voce gosta,,quem sabe o que voce gosta pode ser absurdo pra gente. aprenda a respeitar as diferenças,nao vamos na sua casa te falar o que é cultura e o que não é.
2;Absurdo é voce morar em um pais que estão matando por uma bicicleta ou um celular,absurdo é as pesoas não poderem nem ir na praia que sofrem arrastões,isso é absurdo.
2;Pessoas passam por aqui e falam coisas sem nunca terem visto de perto,um animal no campo trabalha 10 vezes mais que um animal de rodeio,um boi de carro trabalha em serviço pesado de 4 a 6 horas por dia enquanto um touro de rodeio trabalha 8 segundos, quando trabalha e no maximo 2 vezes por mes e não tem seus testículos apertados como muita gente fala,conheçam antes de falar
1;Animais de rodeio são mais bem tratados que muitos humanos nesse país
1;OBRIGADO PELA VISITA CAPITÃO,ESPERO QUE TENHA GOSTADO DA RECEPÇÃO.
2;qual sofrimento ??? voce tambem acha que os animais tem seu saco apertado ?
2;Onde voce viu algum sofrimento com esses animais ??
2;Anencefalo primitiva deve ser voce,,o que voce conhece da vida desses animais ?? fica ai falando coisas sem saber,,em um pais que se rouba 1200 carros por dia,um pais que mais 7,2 milhoes de pessoas passam fome,vove vem aqui se preocupar com os rodeios,nos deixe em paz,,cultura cada um tem a quer quem te falou que a sua cultura é cultura pra nos,,cuide da sua vida ,não vamos na sua casa te falar do que voce tem que gostar.
3;Quem critica não conhece,quem conhece 'ama '
3;Cultura não se discute,cada um tem a que gosta ou a que foi criado
2;DEVEMOS CONHECER ANTES DE CRITICAR,PESSOAS SE INTERAGEM NO MUNDO INTEIRO COM ANIMAIS PORQUE NOS NÃO PODEMOS,PELO CONTRARIO DO QUE MUITA GENTE PENSA ANIMAIS DE RODEIO LEVAM VIDA SAUDAVEL E LONGA,CONHEÇAM ANTES DE CRITICAR
3;Segundo o IBGE mais 7,2 Milhoes de pessoas passam fome no brasil e voces vem querer acabar com os rodeios,não são os touros que estao precisando de ajuda eles ja são muito bem tratados.
3;o rodeio de cuitano é modalidade 100% brasileira e se para voce rodeio não é cultura para gente é,cada um tem a cultura que quer ou vamos na sua casa te falar o que é e o que não é cultura.
3;O CRIME MATA MAIS POR DIA NO BRASIL QUE O CONFRONTO ENTRE ISRAEL E PALESTINA.NO BRASIL MORREM 143 PESSOAS POR DIA CONTRA 66 NO CONFRONTO ENTE ISRAEL E PALESTINA E VOCES FICAM QUERENDO PROIBRIR A GENTE DE MONTAR EM TOUROS,,VAO SE CATAR,NÃO SÃO OS TOUROS QUE ESTÃO PRECISANDO DE PROTEÇÃO ELES JÃ SÃO MUITO BEM CUIDADOS.
1;vamos evoluir e aprenda como vivem animais de rodeio,sao mais bem tratados do que muitos humnos no brasil
3;Vai te catar,vai procurar sua turma,fazemos o que gostamos e não usamos o seu dinheiro,que evolução voce ve nesse pais a cada 10 minutos uma pessoa é morta nesse pais segundo levantamento feito pelo forum brasileiro de segurança publica e voce vem aqui falar em evolução,que evolução ??
3;se voce é contra o problema é seu ,cada um vive como quer se não gosta não vá a esses eventos,,os animais são mais bem cuidados do que muitos humanos vai procurar sua turma.não vamos lá te incomodar .
2;15 CRIANÇAS SÃO VITIMAS DE VIOLÊNCIA A CADA HORA NO BRASIL E AS PESSOAS E ENTIDADES POR AQUI INSISTEM EM PROCURAR MAUS TRATOS NOS RODEIOS.
1;O rodeio ja faz sua parte ,mais 15 milhoes a festa de barretos doou para o hospital do cancer,em socorro sp toda a renda da bilheteria foi revertida para a santa casa de socorro e voce faz o que ??
3;VAI PROCURAR SUA TURMA,NAO VAMOS NA SUA CASA TE FALAR DO QUE VOCE TEM QUE GOSTAR
3;então vai cuidar da sua vida e deixe a da gente em paz
3;As pessoas que dão seus depoimentos aqui não tem noção como vivem esses animais,,deveriam conhecer o campo e ver que os animais que não são de rodeio trabalham muito mais do que os de rodeio no dia dia,puxam arados,puxam carroças ,são abatidos,são usados em cavalgadas,puxam carro de boi, vamos conhecer de perto e verão que os de rodeio são privilegiados ,não torturados.
3;Por isso o rodeio não vai acabar nunca,pessoas idiotas sem saber o que falam vem aqui falar que animais de rodeio tem seus testículos amarrados e outras coisas que nunca viram,isso só provam que nunca viram de perto e não sabem o que realmente acontece,ja existe uma lei desde 2002 que protege eles de maus tratos e todo evento só liberado com a presença de um medico veterinario responsavel
2;Gisele Teixeira não consigo responder no tópico, que instrumento? Ja existe uma lei federal que defende os animais, va a um rodeio e se ver um animal sendo mal tratado, machucado ou sofrendo denuncie e faça valer essa lei é simples, ficar sentada na frente do pc julgando o que não conhece é facil.
2;o cumulo da ignorância é uma pessoa vir aqui e dizer que é contra Rodeio pois amarra o testiculos dos animas, é muita falta de conhecimento é como eu sempre digo 90 % das pessoas que votam não, votam por falta de conhecimento ou por preconceito contra o meio.
3;Se és tao protetor dos aimais, porque come churrasco?? Um boi de rodeio eh tratado como um atleta, e nao como qualber boi
2;IGNORANTE É VOCE ,,QUAL INSTRUMENTO QUE MACHUCA O ANIMAL VOCE VIU,AORENDA ANTES DE FALAR E PASSAR POR RIDICULO
2;vá conhecer o campo e veja como vivem os animais que não são de rodeio,,trabalham muito mais pesados,puxando arados,carroças,charretes,em montarias na lida com o gado,abatidos para consumo,não fale coisas sem saber,,ou voce acha que os animais que não de rodeio vão para as savanas da africa virar comida de leão.
2;O SUA IGNORANTE ONDE VOCE VIU ALGUM ANIMAL DE TESTICULOS AMARRADOS,NAO FALE COISAS SEM SABER
2;Onde e quando voce viu um animal com testiculos amarrados,e as eguas sera que agente coloca supositorio ?? aprende antes de falar não fale coisas sem saber
2;Com essa carinha de tonta sua da se ver que não sai de casa..onde voce viu um animal com o saco apertado,,se voce fizer isso em um animal ele deitaria e quem aguentaria passar anos com seu saco apertado e terminar a vida como reprodutor ainda..Vá conhecer antes da falar besteiras
3;As pessoas que não gostam desse tipo festa vem aqui e ficam falando em torturas com animas,,deveriam conhecer antes de falar esses animais são mais bem tratados do que muitos humanos nesse país.
2;Tem tanta coisa nesse brasil que a gente não gosta e somos obrigado a aceitar se não gosta de rodeio pelo menos respeite.
2;Haroldo, me responda:Qual sofre mais boi de rodeio ou cavalo da polícia militar, que fica muitas horas tomando pancada em manifestação, além de bomba de gás, etc...
3;Meu querido haroldo, não precisa dar idéias não, já estamos providenciando stand nas festas de rodeio, que é nosso ramo, com vários computadores, e representantes para indicar o que fazer, esta estimado 1000 votos por noite, nos finais de semana apesar que isso não vai adiantar muito, porque já ganhamos a primeira sessão no plenário, faça alguma coisa vcs, pra segurar nós, Brasilruraltv.com
1;quem conhece se surpreende,animais tratados com muito carinho,conheçam antes de criticar.
4;Cultura ,cada um tem a sua,,isso sempre foi assim e sempre será.
3;que cultura tem voce que passa o dia inteiro nesse site falando com gente que nao tem nada a ver com vc,gostamos de rodeio com ou sem sua autorização,,hoje tem mais 3000 rodeios por todo o pais e o dia que for proibido continuaremos a fazer nas fazendas nos sitios no interior querendo voce ou não,,não perca seu tempo.nao vamos na sua casa te falar do que voce tem que gostar,procure sua turma,
2;E o que cultura para voce morar em um estado que matam pessoas por um celular,ou pessoas inteligentes que roubam milhoes da petrobras,onde é que voce mora que tem tanta cultura como voce menciona,no meu pais não tem isso,o que tem bandidos armados ate os dentes matando policias todos os dias,matando pessoas porque entraram em uma errada e etc...
2;Esse é nosso pais,, quando passa um policial matando um bandido fica passando um mes na televisão,quando um bandido mata um policial sai uma nota e nada mais,,realmente somos um pais sem cultura.vai procurar o que fazer girafa louca.
3;E analisando o mapa percebemos que vocês só levam vantagem com grande número no rio , demais estados ou a vantagem é pequena ou ganhamos.
2;Seu imbecil se voce não gosta voce deveria pelo menos respeitar quem gosta seu otario, ninguém fica questionando o que voce gosta de fazer,, se acha as pessoas que gostam imbecis fique longe delas,,porque fica nesse site mandando mais 500 mensagens para pessoas que voce acha imbecis,talvez o maior imbecil daqui seja voce.
3;DEVEMOS CONHECER ANTES DE CRITICAR,RODEIO TRATA,NÃO MAU TRATA
4;Cultura,cada um tem a sua.
1;Animais de rodeio tem vida longa e saudável,conheçam antes de criticar
2;Ôô jumentinha, pesquisa so um pouquinho pra vim aqui escrever alguma coisa
4;Devemos conhecer antes de criticar
2;QUEM CRITICA É PORQUE COM CERTEZA NUNCA VIU UM ANIMAL DE RODEIO DE PERTO,PORQUE SE CONHECEREM DE PERTO NÃO FALARAM QUE SÃO MAUS TRATADOS
6;"Vi o touro agressivo do Paulo Emílio chorando perguntei: ""Porque choras melhor touro de rodeio do Brasil?"" ESTOU TRISTE, POR TER VISTO ALGUNS COLEGAS QUE MORRERAM AFOGADOS, UNS ENCONTREI EM UMA SELEÇÃO, PRA TOUROS DE PULO, SÓ PASSOU , EU, O ABADA, O ESTILINGUE, ETC... OS QUE MORRERAM AFOGADOS NÃO CONSEGUIU SER PULADÓ POR NÃO TER VOCAÇÃO E IRIA MORRER EM UM FRIGORÍFICO , BUA BUA BUA BUA.  "
3;Brasilruraltv.com essa vitória e do rodeio um canal com assuntos só sobre rodeios, chora povinho.
1;Quem disse isso? Pelo visto estamos frequentando rodeios diferentes, nos rodeios que eu frequento os animais são tratados melhor que qualquer outra pessoa do evento
3;e o que é bem estar para voce,o frigorifico ?
3;Valter não sei quais rodeios você anda frequentando , mas os que eu frequento os animais são herois e são tratados como tal bem ao contrario de passar por alguma condição degradante.
4;e voce ja conheceu de perto como vivem os animais de rodeio ??
3;um animal de rodeio vive em media 4 vezes mais que um animal comum,não vao para o abate na flor da idade e muito viram reprodutores depois de aposentados,se não fossem de rodeio seriam mortos aos 2 anos de idade.
4;Tudo a ver com o assunto, sem argumento
4;se nos EUA pode ser cultura,porque aqui não ??
4;O rodeio em cavalos no cutiano só existe e foi criado no brasil cultura cada um tem a que quer ou vamos na sua casa te falar o que é cultura pra voce.
3;o que pode ser cultura pra voce pode não ser para outras pessoas,cada um tem a cultura que quer ou que gosta
3;Povo do não se o desejo de vocês é defender os animais de maltratos ja existe uma lei pra isso, basta denunciar o rodeio que tiver cometendo maltrato ao veterinário responsável pelo evento , pronto problema resolvido. Qualquer outra ação fora isso é por falta de conhecimento ou preconceito com o meio.
4;Pessoas deviam conhecer antes de criticar,somos um pais livre,temos varias atividades que homem se interagem com animal porque proibir somente o rodeio
1;Rodeio é 100% bons tratos aos animais,conheçam antes de criticar
1;Parabéns Capitao pela primeira vitória,quem conhece sabe o porque .
3;Valeu capitão esses ativistas querem proibir o que ?? estamos em um pais que menor pode matar,que não é julgado como bandido,,um preso que não tem filho sai pra passear no induto do dia das crianças,bandidos andam armados até os dentes e metralham policiais,,, vão procurar alguma coisa pra fazer,os animais de rodeio ja tem quem cuida deles, e os que não vão para o rodeio vão para o frigorifico.não para um zoologico
3;Pessoas vem aqui falar em torturas com animais sem nunca ter visto um animal de rodeio de perto,por isso seus depoimentos ficam sem valor quem conhece sabe o tanto são bem cuidados esses animais.
2;onde voce viu um animal de rodeio de perto,nojo da de pessoas como voce que fala coisas sem saber
2;REALMENTE NOJO DÁ DE UMA PESSOA QUE FALA UMA COISA QUE NUNCA VIU
2;Nojo da de uma pessoa que fala coisas sem saber,,onde e quando voce viu um animal de rodeio de perto ???
4;ONde voce viu um animal ser torturado.???
4;Nos diga onde e quando e qual rodeio voce foi visitar ??
4;Há tempos o rodeio deixou de ser “propriedade” das Américas do Norte e do Sul, onde teve sua origem, nos estados Unidos, e disseminação em países como Canadá, México e Brasil. Hoje, o evento é realizado na Europa, Ásia, Oceania e África. No Velho Continente, nações como França, Alemanha, Hungria, Espanha e Portugal já realizam o esporte, sendo regulamentados pela Associação Europeia de Rodeios. A Itália já possui uma associação própria, a IRCA (Italian Rodeo Cowboys Association), que organiza os eventos pela terra do espaguete. Na América do Sul, países vizinhos ao Brasil, como Paraguai, Argentina, Venezuela e Colômbia realizam rodeios constantemente. Em 2009, a cidade de Chihuahua, no México, conseguiu reunir o maior número de países em um só lugar. Foram 14 no total: Brasil, Canadá, EUA, México, Costa Rica, El Salvador, Cuba, Guatemala, Austrália, França, Itália, Panamá, Honduras e Portugal. Competidores e profissionais brasileiros foram convidados a participar e organizar um rodeio na Angola, na África. Na Ásia, a China já realizou provas dos três tambores e em breve organizará mais rodeios. Na Nova Zelândia, na Oceania, o rodeio é executado pela NZRCA (New Zealand Rodeo Cowboys Association). A Austrália, famosa pelos cangurus, tem uma das associações mais tradicionais, a APRA (Australian Professional Rodeo Association). Acredita-se, inclusive, que o rodeio torne-se um esporte olímpico, caso aumente o número de países que o realizam. É esperar para ver.
1;Grande Kaique pacheco também representando muito bem nosso esporte pelo mundo. http://rodeiomagazine.com.br/?p=2924
2;Mas uma prova do seu preconceito, julga pessoas pelo nome ou pelo estilo musical que gosta, isso é uma prova que a maioria dos bois de rodeio tem mais cérebro que você.
2;vagabundagem deve ser a sua que fica o dia inteiro nesse site
1;"E mais um ano nossos peões fazendo bonito nos rodeios pelo mundo. Bora Silvano grudar no ""subaco"" dos cosquentos. http://rodeiomagazine.com.br/?p=2883 "
1;28.000 metade do publico de uma noite mais ou menos em barretos, parabéns!
1;Obrigado Capitao Augusto espero que tenha gostado da recepção no rodeio de timburi.
1;PARABÉNS CAPITÃO AUGUSTO PELA PRIMEIRA VITÓRIA,COM CERTEZA AS PESSOAS QUE SÃO CONTRAS NÃO FIZERAM O MESMO ESTUDO QUE O SENHOR,TANTO QUE TEM MUITAS DELAS QUE AINDA ACHAM QUE OS ANIMAIS DE RODEIO TEM SEUS TESTICULOS APERTADOS.
3;Alo senhora Ana dos Animais tenho certeza que meus animais são bem mais tratados que os seus,pena que voce corre e não mostra os seus pra ninguém,porque sera ??
2;Em um pais que pode tudo porque querem proibir a gente de montar em touros,estão até pensando em liberar as drogas,agora vão querer proibir a gente de montar em touros,menor de 18 anos pode matar,roubar e estuprar que fica no maximo até 21 anos na cadeia,homem pode casar com homem,mulher com mulher,politicos roubam e ficam detidos em suas mansões,aqui pode tudo,
1;valeu Capitao,espero que tenha gostado da recepção que teve em nosso rodeio o povo sertanejo de abraça com carinho
4;Onde e quando e qual a fazenda voce foi e conferiu como vivem esses animais de perto ??
6;se chegar o fim dos rodeios voce acha que esses animais vão pra onde,para um zoologico ou pra sua casa ??
2;Tô de olho nessas pessoas que é contra o rodeio, Mas é à favor da legalização de drogas, montar um animal é maus tratos para esses babacas, agora financiar e sustentar o crime, matando pessoas inocentes não tem problema nenhum né bando de hipócritas, só digo uma coisa principalmente para esses usuários do votenaweb, vocês são responsáveis pelas vidas ceifadas através do tráfico!!! Seus hipócritas!
2;Pior é você que não cuida nem do próprio umbigo e quer cuidar do de outras pessoas!!
4;Onde e quando voce viu um animal de rodeio de perto ?
4;e o que sabe voce ?? sabe pra onde vão os animais que não vão para o rodeio ??
2;"É um ""ze nada"" mesmo, copiou do comentário que a Ana postou semana passada? "
2;E onde voce viu animal de rodeio ser torturado ?? por conta de pessoas como voce que rodeio nunca vai acabar,por conte de gente que só fala o que não sabe e não viu.
1;Parabéns capitao por olhar para o povo sertanejo, aqui tudo pode ser cultura ,homem beijando homem em novelas,mulher beijando mulher,,parada gay na maior cidade do brasil e tudo bem,cada um tem a cultura que quer ,porque não podemos montar em touros,o pvo sertanejo está do seu lado tenho certeza que esta reconhecendo isso pelo eventos que o senhor anda visitando.
4;E dai ??
4;Rodeio de cutiano é modalidade que só existe no brasil
3;Rodeio legal não mau trata animal, pessoas sendo mortas todos os dias por coisas banais,roubalheira pra todo lado,nem na praia as pessoas podem irem mais porque são assaltadas a luz do dia e alguns vem aqui quererem proibir que a gente monta em touros,,, vão conhecer de perto e verão que esses animais são tratados melhores que muitos humanos
3;Enquanto pessoas vierem aqui e falarem que esses animais tem saco apertado sofrem injurias passam por crueldade o rodeio só cresce porque quem vota essa lei conhece de perto e sabe como vivem e como são tratados esses animais,se querem realmente ajudar ,ajudem a fiscaliza as leis que ja os protegem de maus tratos e não adianta ficarem coisas sem nunca terem visto de perto como vivem e como são tratados esses animais
4;Pessoas aqui confundem não gostar dessas festas com mau trato animal,,vamos conhecer antes de falar,animais tambem são usados no dia a dia do campo em varias tarefas,nas carroças,nos arados,nas cavalgadas, e etc,, animais de rodeio levam vida saudavel e longa conheçam antes de conhecer
4;Onde voce uma crueldade no rodeio ?? em qual festa pelo seu arco iris nunca deve ter visto de perto
4;a evolução tambem é falar coisas com conhecimento,onde e quando voce viu um animal de rodeio de perto ?
2;Bestalidade uma ignorante como voce falar coisas que nunca viu isso sim é uma bestalidade.
4;Onde voce viu um animal de rodeio de perto ???
2;Bestalidade é uma pessoa querer passar por intelectual e falar coisas que nunca viu e nem conhece de perto isso é ser besta
3;Em um pais que pode tudo,homem casar com homem,mulher casar com mulher,estão querendo liberar as drogas,porque não podemos montar em touro,,nao venham com essa que os animais não pedem pra estar lá porque cachorros de exposição,cavalos de polo,hipismo,joguei tambem não pedem e estao se interagindo com humanos o tempo todo,,conheçam e vejam que não tem tortura alguma nessa pratica.
2;Ohh seu ignorante onde voce viu um animal com testiculos apertados,por conta de leigos como voce que a projeto ja avançou o primeiro passo por pessoas que dizem coisas sem saber
1;Boa demais capitão o povo sertanejo está do seu lado
3;CONTINUE ASSIM CAPITAO,,SE TEM MEDO DE CRITICAS ENTAO NÃO DIGAS NADA,NAO FAÇA NADA E NÃO SEJA NADA. ESPERO QUE ESTEJA GOSTANDO DAS SUAS RECEPÇÕES NOS RODEIOS. CONTINUAREMOS NESSA LUTA DO SEU LADO SEMPRE.
1;MUITO OBRIGADO PELA VISITA NO RODEIO DE TIMBORI CAPITAO AUGUSTO,ESPERO QUE TENHA GOSTADO DA RECEPÇÃO.ESTAMOS DO SEU LADO
1;Valeu Ipausu festa lotada todos os dias e o Capitao muito aplaudido pela galera.
1;MUITO OBRIGADO PELA VISITA CAPITÃO ESPERO QUE TENHA GOSTADO DA RECEPÇÃO,ESPERO QUE EM TODOS OS LUGARES O SENHOR SEJA RECEBIDO COMO FOI AQUI ,IPAUSU TE AGRADECE COM CARINHO,O POVO SERTANEJO TE APLAUDE SEMPRE.
1;Valeu Capitao hoje aqui na minha cidade estamos preparando uma linda recepção para o senhor o povo do rodeio te agradece. seja bem vindo
1;Parabéns pela visita em nosso evento Capitão seu nome sera lembrado sempre mesmo quando o senhor não comparecer, e parabéns também pela primeira vitória. de passo em passo a gente chega lá.
1;Parabén pela visita em nosso evento Capitão o povo sertanejo te aplaude,conte com nosso voto sempre.
3;Graças a pessoas igual a voce que só fala o que não sabe que o capitao está cresecendo no mundo sertanejo,nos visitou essa semana em ipausu e foi mega aplaudido o povo sertanejo esta do lado dele e com certeza vai ser eleito novamente,enquanto voce fala o povo sertanejo age.
3;Ele pode ter perder alguns, Mas vai ganhar milhares do pessoal do rodeio que não o conhecia!
