;Classificação Vinicius;Classificação Higor;Comentario
;2;2;Esse temer deveria lavar essa cara imunda. Ladrão.
;2;2;Velho ladrão. Aliás, nesse país, o que mais tem é velho ladrão. 
;3;1;Vcs certamente nao ouviram o audio. Sao frustrados com o gorpi. Nao passa de um empresario tentando se livrar e incriminar o presidente
;2;4;Esse pylhantria que assaltou o poder, em um ano, está fazendo a maior destruição de direitos e do patrimônio nacional que nem o senil fhacê fez. Toda dia tem medida provisória no congresso que o povo nem sabe o que está acontecendo, fazendo estragos em todos os setores beneficiando os poderosos. Agora a pouco acabaram de aprovar no senado a regularização de todas as grilagens de terras no Brasil principalmente na Amazônia abrindo caminho para investidores estrangeiros comprarem nossas florestas.....Quem não acredita pesquise!
;4;5;Keep calm até a posse do Jair em 2019.
;2;4;ele trabalha para os ricos  e mais engraçado é que é o povo que banca este país é a gente paga o salário dele 
;2;2;Bando de nojentos
;2;4;Pode até não responder, lembrando-se, entretanto, do velho ditado popular: "quem cala, consente"!
;2;2;Presidente quadrilheiro, uma vergonha esses políticos do nosso país, e o STF que não apita nada, vergonhoso!!
;2;4;O CACIQ DAI E O TEMER QUEM TA MANDAND E DESMNDANDO E ELE E ACABOU  O STF E SO UM LOB
;3;4;Impressionante a blindagem que tem um presidente da república do bananazil. Parece aqueles faraós que ninguém sequer podia olhar no rosto. Está acima do bem e do mal, intocável, por mais que sejam evidentes seus desvios e sua conivência com a corrupção.
;3;2;Mais impressionante Flávio, é ver a briga partidária entre os eleitores, enquanto o Brasil e os próprios afundam junto. Inacreditável!!! 
;3;4;Pois é Augusto , e por essas e outras que o CCJ aprovou diretas já para que o Filho do Brasil retorne...isso não e maravilhoso ?
;2;2;Vai responder o que lhe interessar, mentir por escrito vai ser moleza para o vampiro.
;2;5;Vai ser moleza porque ele vai fazer tudo em forma de poesia
;2;5;Esse é o Líder supremo dos servos do mbl..calem a suas bocas é vão trabalhar 
;2;2;Esse bandido na já deveria está era preso junto com Aécio .
;2;2;E o MBL pedindo ele na prisão... explica essa mortadeloso. 
;3;4;Prefeito Doria foi feliz quando diz que viciado em drogas não querem se internar, por isso é necessário a internação compulsoriamente.... Tbm acho que político viciado em roubar não querem ser preso, dessa maneira é necessário a prisão compulsoriamente.
;2;4;'Primeiramente' acabe com o STF 'segundamente' acabe com o STF 'terceiramente' acabe com o STF... 
;2;2;Fora STF
;2;2;Aproveita e acaba com Executivo e o Legislativo também. É inacreditável a injustiça nesse país. O "presidente" é criminoso comprovado e o STFdp não faz nada. Todos corrompidos!
;2;5;QUE DEUS DÊ A TEMER E SEUS FILHOS EM DOBRO TUDO O QUE TEM FEITO PELOS POBRES.   
;4;5;DEUS TE OUÇA!!!
;2;5;Bastava dar igual......Queria ver o futuro do Michelzinho e sua babá de 14.000 reais paga pelo povo!
;2;2;Temer tem que ser preso urgentemente . mito 2018
;2;2;ESSE PRESIDENTE CANALHA PERGUNTE PARA ELE SE NÃO DESEJA UM CHUPETA MOLHADA NO MEL
;4;2;SE ELE É O DRÁCULA?
;4;5;'VOÇÊZ' duas votaram nele...
;2;2;Somos governados por ladrões!
;4;5;Não precisa responder kkkkkkkk nem precisa, já é um fato consumado kkkkkk
;2;2;O vice presidente de um governo que provocou a maior quebrança da história do país era para ter sido deposto junto.
;2;2;PRESIDENTE LADRÃO É O QUE NOS TEMOS
;3;2;Se o Temer nada deve, porque essa tropa de choque que manter o deputado suplente Loures em fôro privilegiado. Se o presidente não deve nada, o amigo Loures não teria nada para contar em uma possível deleção premiada. Ele recebe um bandido altas horas da noite na sua residência oficial, sem registro, se compromete até à alma e agora quer perícia especial nas gravações? O Molina que o diga o quanto ganhou para falar todas aquelas asneiras durante aquela  coletiva que sepultou a sua carreira!
;2;4;Poise ,porque o Temer ta com medo de responder as pergunta do audio...
;2;4;A" tropa de choque" do Presidente Temer é BEM menor do que as caravanas que se deslocam rumo a Curitiba quando o Prizidenti malandro vai depor e, mente descaradamente.
;2;4;A GRAVAÇÃO É O DETALHE QUE MENOS IMPORTA AGORA. .. A PF, DEVE FAZER IMEDIATAMENTE OS QUESTIONAMENTOS, BASEADOS NO DEPOIMENTO OFICIAL DE TEMER, NELE, ELE CONFIRMA A GRAVAÇÃO,  O INTERLOCUTOR, O DIA, A HORA, A FORMA, OS MEIOS, O CONTEXTO E, PRINCIPALMENTE, A OMISSÃO DIANTE DAS CONFISSÕES DOS CRIMES. . NUM PAÍS SÉRIO JÁ ESTARIA NA RUA.
;2;2;A justiça no brasil é muito lenta, e há muitas brechas para os poderosos não serem condenados.  Precisamos unir a nação em uma conscientização nacional para nas próximas eleições não eleger nenhum desses políticos que estão atualmente no poder em todas as esferas políticas. Se fossem sérios estariam pressionando a saída de um presidente notadamente envolvido com a corrupção.
;1;4;Pauloverdade o  Mantenha isso, viu É praticamente igual ao Então tá, Acontece que dependendo do MEIO social e principalmente O Meio Intelectual  as Palavras/ Maneirismo, se modificam. Tipo O Presidente e U Priszdenti. Diferenças existem!
;1;5;TEMER ficará SIMMM até 2018.!. . Depois, DÓRIA será presidente até 2026 .!. . Somente com um presidente PAULISTA, o Brasil irá crescer..!!
;1;2;Já leu os projetes que ele aprovou? já viu quantas vezes ele faltou em seu trabalho? hmmm então Bruno vamos procurar pelo menos ter conhecimento antes de falar asneira jovem... mas eu te entendo ,também julguei ele assim antes de conhecer o que ele realmente faz.
;1;4;Agora SIMMMMM, teremos um ministro da justiça IMPARCIAL. .!!
;2;2;Qal medo tem de ser interrogado quando se é inocente? 
;2;2;Este senhor é muito sujo e sem moral para governar nosso país 
;2;2;Que vergonha! compromisso com a verdade, somente depois da perícia?
;2;2;Você, Temer, deveria ter vergonha de se olhar no espelho, é uma vergonha para sua família e seu filho que vai crescer e conhecer a história do Brasil e ver o canalha que foi o pai dele, talvez até se mate, mas tente ser pelo menos um pouquinho digno e renuncie para o bem do Brasil.
;2;4;se matar? o menino está bilionário, com dinheiro dos tro-u-xas
;2;2;Então o procurador advogado faz parte da organização comandada por temer, por isso janot pediu sua prisão.
;2;4;Só no Brasil bandido escolhe quando e o que vai responder em um interrogatório. 
;2;2;Bandido poderoso, porque, pé de chinelo se bobear, ainda leva uma surra.
;4;5;Fato.
;2;2;Impeachment já Urgente.Temer na Cadeia .
;2;6;Quem votou nele foram vocês, fica a dica
;3;2;Para com isso, todos sabem que os  áudios são originais e está querendo ganhar tempo.
;1;2;Parece que os advogados dão ordens a quem está investigando. Um absurdo.
;4;4;O sr.esta numa sinuca de bico.
;4;4;Todos estão apavorados.
;2;2;Michel Temer asfixia financeiramente a Lava Jato, tenta garantir foro privilegiado a Rocha Loures, o seu homem da mala, faz chicana para evitar depor sobre a sua relação subterrânea com Joesley Batista -- que afirma ter comprado o silêncio de Eduardo Cunha --, nomeia um ministro da Justiça para ser o seu advogado de defesa informal e, agora, manda esse mesmo ministro trocar a direção da PF.
;2;4;O presidente da República sente-se livre para obstruir a Justiça diante de uma nação inerte.
;4;5;É impressionante.
;3;5;Novamente o globo é parcial e afirma em manchete o que não esta dito nas gravaçoes. Que vergonha globo. Estas perdendo a credibilidade.
;3;5;SE ALGUÉM ME ACUSA DE ALGUMA COISA, QUE NÃO FIZ, EU IRIA IMPLORAR PARA QUE ME OUVISSEM.   .  EU NÃO ESTOU ENTENDENDO MAIS NADA!
;2;6;Medo de que presidente? quem não deve não teme
;2;2;Fora Temer, o mercado já dá sinais de cansaço, o povo não te aguenta desde o dia que assumiu, e os crimes dos que compõe o seu governo não autoriza nem a reforma de uma apartamento. Triste.
;2;2;Se não existissem petralhas estaria tc neste momento, diretas já!
;2;4;A culpa é do próprio  S T F  . Não se dar o respeito , qualque criminoso acha no direito de escolher as pergunta que irá responder !
;2;2;Silvio se acha manda ele    t     o      m   a   r  no    c    u   e vai você  tbm  ! 
;2;2;E enquanto este l o x o continua se amarrando na  cadeira de   presidente.  O Brasil contínua aí para o buraco. E os inúteis que deveriam tira lo de lá  estão tentando obstruir a lava jato !
;2;4;Se deixar por conta, vai acabar dando uma de Groucho Marx :  vai mandar um questionário para o STF responder, em 12 horas...
;3;2;Com esta iniciativa do Temer, ele mostra que está nitidamente com medo de outras partes que ele conversou com Joesley  e que ainda não apareceram. Ele deve estar pensando será que ele gravou tudo! Talvez a polícia só divulgou a parte que vazou e está esperando o momento certo para soltar a bomba total. Deus ajude estes policiais e os Juízes que estão querendo por o Brasil a limpo. E que Deus ajude para que estes corruptos sejam presos o mais breve possível. O povo não aguenta mais ouvir tanta manobra... Prisão para todos já
;3;4;Se o áudio foi manipulado por que ele não vem a público e nos diz o que foi cortado.  Se é mentira, por que ele não vem a público é diz o por que de ter ouvido o cara falar que tinha procuradores e juízes na mão dele e  não deu voz de prisão ao cara. Explique por que foi conivente.
;4;6;TEMER, quem não deve não teme.
;2;2;Este Temer é muito sujo e astuto.....sem moral para governar 
;2;2;Por incrícel q parece este drácula só esta por medo de alguns ficarem sem o BOLSA FAMÍLIA! Fora: Tremer!!! Fora: Lwla!!! Fora: Arécio!!! Fora: Tremer!!!
;1;1;TEMER ficará SIMMM até 2018.!. . Depois, DÓRIA será presidente até 2026 .!. . Somente com um presidente PAULISTA, o Brasil irá crescer..!!
;1;2;Já leu os projetes que ele aprovou? já viu quantas vezes ele faltou em seu trabalho? hmmm então Bruno vamos procurar pelo menos ter conhecimento antes de falar asneira jovem... mas eu te entendo ,também julguei ele assim antes de conhecer o que ele realmente faz.
;1;4;Agora SIMMMMM, teremos um ministro da justiça IMPARCIAL. .!!
;2;4;Temer só não caiu ainda, por estarmos assombrados com a possibilidade de volta dos petralhas...
;2;4;Se a pátria é nossa fosse verdade... Não teríamos 14 milhões de desempregos.  Então viva os movimentos... Em especial vem pra rua. 
;3;4;Novidade, a defesa (réu) é que determina as perguntas que deverão ser feitas, é isto mesmo, ajuda aí. 
;2;4;E porquê ele quer isso? Obviamente, ele quer saber no que pode mentir sem cair em contradição posteriormente, e no que não pode.
;2;4;Pois é Ô das Portas, concordo! Pena que você não pense assim quando se trata dos corruptos do PaTê!
;4;5;2018 vem ai.
;3;4;A GRAVAÇÃO É O DETALHE QUE MENOS IMPORTA AGORA. .. A PF, DEVE FAZER IMEDIATAMENTE OS QUESTIONAMENTOS, BASEADOS NO DEPOIMENTO OFICIAL DE TEMER, NELE, ELE CONFIRMA A GRAVAÇÃO,  O INTERLOCUTOR, O DIA, A HORA, A FORMA, OS MEIOS, O CONTEXTO E, PRINCIPALMENTE, A OMISSÃO DIANTE DAS CONFISSÕES DOS CRIMES. . NUM PAÍS SÉRIO JÁ ESTARIA NA RUA.
;2;4;A justiça no brasil é muito lenta, e há muitas brechas para os poderosos não serem condenados.  Precisamos unir a nação em uma conscientização nacional para nas próximas eleições não eleger nenhum desses políticos que estão atualmente no poder em todas as esferas políticas. Se fossem sérios estariam pressionando a saída de um presidente notadamente envolvido com a corrupção.
;2;4;Pauloverdade o  Mantenha isso, viu É praticamente igual ao Então tá, Acontece que dependendo do MEIO social e principalmente O Meio Intelectual  as Palavras/ Maneirismo, se modificam. Tipo O Presidente e U Priszdenti. Diferenças existem!
;2;2;Postergar, postergar, postergar, esse é o lema desse rato. Vai ser assim também no julgamento do TSE. Essa praga só sai no tapa...ou no chute, ou numa urna funerária!!!
;2;2;//  Dedé  a  ultima  opção  pega  bem  pra  ele  e  os  comparsas  dele  //          
;4;6;E daquelas bem fuleiras feitas de papelão...
;3;4;A culpa é do próprio  S T F  . Não se dar o respeito , qualque criminoso acha no direito de escolher as pergunta que irá responder !
;2;2;Silvio se acha manda ele    t     o      m   a   r  no    c    u   e vai você  tbm  ! 
;2;2;E enquanto este l o x o continua se amarrando na  cadeira de   presidente.  O Brasil contínua aí para o buraco. E os inúteis que deveriam tira lo de lá  estão tentando obstruir a lava jato !
;2;2;//  PEQUE  SUA  BENGALA  E  CAIA  FORA  POR  FAVOR  //  O  POVO  NÃO  AGUENTA  MAIS  //  BANDO  DE  SAQUEADORES  DA  NAÇÃO  //    
;4;5;//  OBS.  PEGUE  //  DESCULPA  PESSOAL  // 
;2;6;Por que não quer que pergunte sobre a gravação?!  Quem não deve não TEMER...
;3;2;Não entendo tamanha preocupação , se houve corte veremos a cobra morder o próprio, supostamente Joesley poupou outros envolvidos. Esse  homem frio e arrogante não enxerga que a máscara caiu, e que coleciona processos. 
;2;2;Este Temer é muito sujo e astuto.....sem moral para governar 
;2;2;Por incrícel q parece este drácula só esta por medo de alguns ficarem sem o BOLSA FAMÍLIA! Fora: Tremer!!! Fora: Lwla!!! Fora: Arécio!!! Fora: Tremer!!!
;2;2;Pessoal esquece o Temeroso não cai por esses áudios, e se brincar não cai por Impeachment, ele diferente de sua antecessora tem a maioria do congresso...
;4;4;Maioria? kkkkkkk
;2;2;Ele vampiro está com medo do restante do áudio. Esquecer o verme, nunca!  
;2;4;O sr.esta numa sinuca de bico.
;4;4;Todos estão apavorados.
;2;2;Presidente desprovido de vergonha na cara!
;2;4;O réu querer escolher as perguntas que lhe serão feitas.
;3;4;Isso por que tem o direito constitucional de "ficar calado", ou seja não responder e de não produzir provas contra ele mesmo. 
;2;6;Quem não deve, não teme ... r! .. rsrs
;4;4;Esta com medo!
;2;2;Impeachment já Urgente.Temer na Cadeia .
;2;4;Quem votou nele foram vocês, fica a dica
;3;2;Se o áudio foi manipulado por que ele não vem a público e nos diz o que foi cortado.  Se é mentira, por que ele não vem a público é diz o por que de ter ouvido o cara falar que tinha procuradores e juízes na mão dele e  não deu voz de prisão ao cara. Explique por que foi conivente.
;2;5;por que rejeitam meus comentarios??
;3;4;A Globo até que está imparcial esses dias, esqueceram o molusco por esses dias , em cada 10 postagens 9 era falando al do molusco. A estrategia era, se falar mal o Molusco cresce na pesquisa
;2;4;Ora por que? Porque é a Globo né, até hoje não aprendeu? 
;4;4;O cara quer ele mesmo fazer as perguntas ....
;2;2;Só no Brasil, vergonha nacional
;1;4;Se ele não responder sobre a delação da JBS, vai responder sobre o que???
;3;4;A investigação   é   sobre  a  delação  da  jbs .   Porque   tanto   Medo    tremer ? Kkkkk 
;3;4;Mas a defesa, que chegou a pedir suspensão do processo até a conclusão da perícia no áudio, e logo voltou atras retirando o pedido para que o processo prosseguisse, não entende que o áudio é frágil e será justamente o ponto forte para inocentar o Presidente??? Qual é o medo agora?
;3;5;Desculpa pela minha interpretaçao errada, viu Dr Manuelito. Reconheço
;3;4;A guerra deve ser do povo contra a classe política, que são todos sem exceção, ladrões da pior espécie. O povo deve permanecer unido. 
;2;4;No minimo né!!? Essa conspiração sera desmascarada!! Bolivarianos fora!!
;4;4;chega ser absurdo um comentário assim !!
;4;5;você é o BOZO ?
;2;4;O comentário faz juz ao fake.
;2;6;Tá com medo de quê? Quem não deve não tem o que TEMER! KKKKKKK KKKKKKK 
;2;4;Quem não deve não teme.... quem quer transparência e que não paire dúvida sobre a sua pessoa, esclarece logo a pendência...... caso contrário, dá a impressão de que é culpado mesmo....
;2;2;'Jus sperneandi' - fora Temer e Cia Ilimitada.
;3;4;Não tem que conceder mais nada, ou eles teem medo do que, a intenção é uma só : ganhar tempo.
;3;4;Discutem tudo menos a Falta de Legitimidade do Processo Eleitoral. VOTOIMPRESSO para Auditar/Recontar. 
;1;5;Maria Silvia Bastos é um bom nome para 2018. 
;4;5;Volta Jesus!!!!
;2;4;Ainda querem eleger um sucessor do PSDB, isso é brincadeira estão brincando com a nossa cara
;2;4;A 7Brasil vem aí gente... Lulalau deve de estar com os nervos em frangalhos : )
;2;4;Os mortadelas insistem em achar que defendemos esses caras. Votei no Aécio sim, não votaria de novo. Já os mortadelas, votaram na Dilm4 e nao se arrependem e quer ela ou o Lul4 de volta. Não enxergam. 
;2;4;não confunda ideologia de esquerda com baba ovo da direita
;3;4;Joca, querido, eu não votei no atual presidente, E SIM VOCÊS! Pare de ser burro!! Não existem provas contra o Lul4? O que acontece com vocês? Vocês são cegos? só pode ser. Não é possivel!!!!!!!!
;2;4;O Temer esta agonizando e já não esconde o desespero com suas manobras descaradas. Mas a queda é inevitável.
;2;4;Se o lulalau n quedou-se até agora, que dira o Presidente Temer. O Presidente Temer é um admirador ( tvz seguidor, em partes) do Dr. Ulysses Guimarães. Queda,  só se for de helicóptero ... 
;4;4;Nada a ver com a matéria, mas, esse tal de Carlos Marun embrulha o estômago.
;2;4;mais uma manobra do ali baba e os 500 ladrões
;2;2;ESSEVAGABUNDOTÁQUERENDOFAZERDONOSSSOBRASILUMASIRIA...MORTEAESSESJÁ...
;2;2;QUEMAPÓIALADRÃO...É????
;2;2;LADRÃOCOVÁRDEENTREGUISTA...
;2;2;ANACADÉLINHADOSMARINHOSDAGLOBONOCIODEFECANDOPELOSDEDOS..JÁDEUHOJE...ISSOSEALGUEQUIZERPORQUEDEVESER????
;2;2;A pergunta que não quer CALAR. Quando vão PRENDER o SAPO BARBUDO e sua QUERIDA. HEIN.
;2;4;A pergunta que não quer CALAR. Quem o SAPO BARBUDO vai escolher para ser seu ou sua vice quando ASSUMIR A PRESIDÊNCIA EM 2018....Será a QUERIDA?
;3;4;kkkkkkk.... ainda tem demente que não entendeu o golpe até hoje?  kkkkkkkkk.... Taí um eleitor de Sérgio Cabral, Aércio, Cunha, Renam, Collor, Sarney...etc, etc....  É filho, agora com os burgueses caindo voce vai ter que trabalhar, coisa que vc 
;4;4; e seu pais nunca fizeram na vida!
;4;4;o espermatozoide fecunda o ovulo, 9 meses depois nasce o humano, este vai para o jardim de infancia, depois vai para o grupo escolar, do grupo vai para o ginasio, este depois vai para o colegio,e depois. Vai para a faculdade, ai vem a escolha do curso podendo ser administraçao, engenharia ou direito por exemplo. pode ter frustraçao e mudança do curso. vem a formatura e a festa, comida e bebida as pampas e o conjunto musical tocando musicas da epoca. o primeiro emprego. e posteriormente o segundo emprego por exemplo atraves de concurso publico.
;4;4;bem e' normal que voce queira ter um negocio, entao voce compra 3 porquinhos por exemplo, coloca no chiqueiro e o engorda. e' claro que estes tres porquinhos, nao sao aqueles da literatura infantil, sao de verdade. e' tambem natural que voce espande o seu negocio e agora ja tem uma possilga que e' um local onde se cria muitos porcos.e' natural tambem diversificar o negocio agora comprando uns boizinhos. e ainda e' natural comprar ou montar um frigorifico.
;4;4;la na grecia antiga tinha a agora, uma praça onde o povo se reunia e colocava atraves de uma assembleia suas revindicaçoes. para isto utilizavam os sofistas expertes na oratoria e estes iam na tribuna instalada e espunha a revendicaçao ou a sugestai do cidadao para a assembleia la na praça para ser aprovado ou nao. bem hoje temos os politicos. que sao os representantes do povo, mais para se elegerem no congresso ou a presidente da republica eles gastam dinheiro
;3;2;FACCINMOSTREQUEVOCWNÃOÉCOVÁRDENEMCANÁLHAEQUENÃOESTÁEVOLIDONESSAGANGQUEASSOLAOBRASIL...OUOPAUPEGAPROTEULADO...
;2;2;E enquanto isso nosso país sangra, fora logo TEMER !
;3;5;Marvin Drake A palavra ridícula n lhe cabe, já que o sr desconhece minha procedência. E, indo além infelizmente eu n existia há 517 a. atrás ou teria uma frota de caravelas hiper moderna. : )
;3;5;Antonio Lima O luLla pegou a cama pronta (Gov FHC reestruturou as reservas internacionais, fez a reforma monetária, tirou o país da insolvência, abriu o mercado ao capital externo, liberou o cambio, modernizou o parque industrial, criou as agencias reguladoras e fez a reforma administrativa ETC).
;3;5; Mas que tem mais de 30 anos de idade e viveu adulto na época que os burgueses estavam no comando do País ja sabiam que essa gang do PSDB e PMDB é voraz por dinheiro e não estão nem aí para o povo. Por isso votaram na "menos ruim".
;2;4;Só no Brasil, que a justiça é submissa a políticos!
;3;2;Não concordo com esse tipo de defesa por escrito. Não quero aqui defender o tal magistrado, mas entendo a posição do juiz. Se nós já não aguentamos ter que ver a cara de sonso do velho babão Gargamel todos os dias nos noticiários, que dirá o Judiciário...
;4;5;Essa novela vai loooonge ainda estão no capítulo 101/ 2050.
;2;4;ABSURDO! Mais uma aberração jurídica de Fachin! Está provado que o aúdio foi editado, logo não serve de prova! O processo deve ser arquivado e Michel Temer inocentado! Janot e Fachin deveriam ser impichados pelos abusos cometidos!
;4;5;Tirso louco, deve ter cheirado umas carreiras antes de editar estas asneiras
;4;5;Kkkkkk... Esse Tirso é hilário! Acho que está sugerindo um roteiro para o Porta dos Fundos!!! Muito engraçado!!! Kkkkk...
;3;5;Estamos sem rumo, culpa de Cabral que errou o caminho das índias...
;2;2;Bando de juizeco mandado por um corja de politico corruptos. corruptos juizeco tudo pra cadeia
;2;2;vai você pra cadeia palhaço
;2;5;B/O/S/O/N/A/R/O/ NO SEGUNDO TURNO VAI MASSACRAR O SEU ADVERSARIO !! SE É QUE TERÁ !!! ACABOU ESQUERDAS HIPÓCRITAS !!! QUERO SABER DE QUEM ERÁ A CONTA NA SUIÇA DE 450 MILHÕES QUE O MANTEIGA OPERAVA PRO LULETE E DILMOCA ???? ESTA AI A GRANDE PROVA SEUS TRAIDORES DA PATRIA !! 
;2;4;O aercio já tá enrolado mesmo, agora esse temer é mais perigoso e deve continuar com fachin juntamente com seu testa de ferro loures que não vai arriscar sua vida e deve fazer delação.
;2;4;A pergunta que não quer CALAR. Quando vão PRENDER o SAPO BARBUDO e sua QUERIDA. HEIN.
;2;4;A pergunta que não quer CALAR. Quem o SAPO BARBUDO vai escolher para ser seu ou sua vice quando ASSUMIR A PRESIDÊNCIA EM 2018....Será a QUERIDA?
;2;4;kkkkkkk.... ainda tem demente que não entendeu o golpe até hoje?  kkkkkkkkk.... Taí um eleitor de Sérgio Cabral, Aércio, Cunha, Renam, Collor, Sarney...etc, etc....  É filho, agora com os burgueses caindo voce vai ter que trabalhar, coisa que vc 
;4;4; e seu pais nunca fizeram na vida!
;4;4;Oque os coxinhas farão coma aquelas camisetas que usavam com tanto orgulho, que tinha a celebre frase "A CULPA NÃO E MINHA VOTEI AÉCIO"???????????????
;4;4;Vc não sabe nem o significado de comunismo encéfalo...
;3;2;Que vergonha, meu Deus. Um presidente investigado. Ainda não paramos de piorar moralmente. E se não pararmos de piorar moralmente, não haverá melhora em nenhuma outra área.
;1;4;Eu pedi o impeachment da DiIma sim. Mas nao sou um bitoIado politico, hoje reconheço que fiz besteira. Olhem só o que este sujeito está fazendo com o país. Para compensar esta minha bobagem irei votar em LuIa o ano que vem que é o único que já fez algo pelo povo, verdade seja dita
;1;4;Eu não votarei!!
;1;2;Eu voto nulo só assim não darei meu voto a nenhum desses satanás.
;3;2;Os mortadelas insistem em achar que defendemos esses caras. Votei no Aécio sim, não votaria de novo. Já os mortadelas, votaram na Dilm4 e nao se arrependem e quer ela ou o Lul4 de volta. Não enxergam. 
;3;4;não confunda ideologia de esquerda com baba ovo da direita
;2;5;Joca, querido, eu não votei no atual presidente, E SIM VOCÊS! Pare de ser burro!! Não existem provas contra o Lul4? O que acontece com vocês? Vocês são cegos? só pode ser. Não é possivel!!!!!!!!
;2;5;Por escrito? Que absurdo é esse? Teria que ser interrogado ao vivo e o interrogatório deveria ser filmado. É cada uma no Brasil...
;4;5;ta na CF 88 ... certo ou errado ta lá... muda a carta magna
;4;5;TA MAIS PRA CARTA MAGDAAA"
;2;5;Quem fez mais papel de trouxa? Os paneleiros do mbl que seguiam o pato amarelo dedinho pra cima, ou aqueles revoltados online fã do alexandre frota junto ao ronaldo gordomeno que diziam "não tenho culpa votei no mineirinho" dedinho pra baixo 
;4;5;Volta barbudao e resolve as paradas tu é o cara de respeito mundial!!
;4;2;Quando a gente vê um cara vomitando um monte de asneiras aqui, pode ter certeza, ele vota no encantador de jegues!! A turma do treze é bem honesta, não é atoa que a turma foi toda presa, restaram apenas os encantadores de jegues!! Eta Brasil!!
;2;2;ABSURDO! Mais uma aberração jurídica de Fachin! Está provado que o aúdio foi editado, logo não serve de prova! O processo deve ser arquivado e Michel Temer inocentado! Janot e Fachin deveriam ser impichados pelos abusos cometidos!
;4;4;Tirso louco, deve ter cheirado umas carreiras antes de editar estas asneiras
;4;4;Kkkkkk... Esse Tirso é hilário! Acho que está sugerindo um roteiro para o Porta dos Fundos!!! Muito engraçado!!! Kkkkk...
;2;2;Primeiramente, FORATEMER, segundamente, FORADORIA (sp não será cinza, ACRACORESISTE). Os intelectuais já falaram, Caetano, Gil, Milton e Gadu puxaram o coro para mais de 1milhão de cariocas no domingo. Chegou a hora de dar o empurrão final no GOLPISTA/USURPADOR e depois tirar o Dória e o Crivella de suas respectivas prefeituras!! 
;4;5;Cleber "do you remeber me! "essa é uma frase de questionamento, portanto o pronome precede o verbo
;4;5;Cleo Socialista não é verbo" to be ", é verbo "to remember"
;2;2;Tem que mostrar ao vivo o desmascaramento desse bandido!! FORA TEMER!!!!!
;2;2;Ta de sacanagem, mais nesse pais ja nao duvido de mais nada.
;4;5;kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
;1;4;ACORDA  BRASIL
;4;5;Humberto da Silva Krelic.
;2;4;mentir e enganar faz parte do curriculum vitae de nossos políticos! 
;1;4;é muito atrevimento e falta de respeito da parte  do Edson Fachin, temer tem que colocar esse homem no lugar dele
;2;4;kkkkkkkkkkkkkkk os velhos estão ganhando ? ou perdendo . Você vai aposentar depois que voce morrer !!!
;2;4;se os velhos ganham, nos ganhamos também
;2;1;Não haverá aprovação de PEC alguma! O Presidente Temer chegará até 2018! Defeitos ele os tem, e muitos. Mas Tenacidade ao meu ver é qualidade. Economia melhorando é o melhor para o país.
;4;4;Algum comentarista lembra quando o Luladrom foi contra as Diretas já, ou vcs não estudam o passado politico dos seus idolos???
;2;4;Primeiro foi causado o caos pra dar um golpe de estado, agora está pior que em 2014. Porém melhor que o caos causado, ai me diz que melhora. Esta de brincadeira!!!
;4;4;Responder um interrogatório lendo as perguntas e respondendo em 24 h ?? É isso mesmo ?? Depois diz que perante a lei todos somos iguais !! Na minha opinião própria,esse supremo tribunal federal acovardou....e já faz tempo... 
;2;2;Dois pesos e duas medidas. Sempre os criminosos de colarinho branco tem suas vantagens. Vergonha.
;2;4;Bem, em breve esse método será aperfeiçoado e será possível (ou melhor, justo) pedir a ajuda dos universitários ou pular a pergunta. Não há do que se preocupar, o sistema vai melhorar... para quem interessa.
;2;4;Quero ver LuIa e sua quadrilha presos, sem mais.
;2;2;Falta pouco! Mesmo com o pessoal red da alta cúpula tentando limpar o caminho ( falcatruas/roubos/etc), ele será preso!! 
;2;4;Eu também estou esperando ele ser "preso" desde 1989...... zzzzzzzzzzz....... olha, não se desesperem, uma hora da certo ......zzzzzzzzz.
;4;4;Interrogatório não pode ser por escrito. Interrogatório é pessoal. O interrogando se senta diante do policial e deve responder ao que lhe for perguntado, podendo se calar. Pergunta tipo: "E, aí, malandro, vc pegou as galinhas?" 
;1;4;Isso vão até os STF e façam essa reivindicação!
;2;4;Foro privilegiado é isso aí!
;2;5;Povão. A crise tá brava. E eu tenho a solução. Sou muito sabidão e sei resolver isso. A solução é: LulaPresidente. Vamos de Lulo. 2018 é Lulalá. 
;2;2;A R R O M B A D O
;4;5;Entendido !!!!! ?????? Não entendi ?
;4;2;Diretas já ! ....PEC serve para que ? Só para tungar os nossos direitos . No começo do mês, o TSE cassou os mandatos do Governador e vice do Amazonas e convocou Diretas... ..
;3;4;Vai ter o que o Congresso decidir, dando tempo hábil ao TSE... Há menos de um mês o TSE mandou fazer diretas no Amazonas. 
;2;5;Não é bem assim Horacio. 
;2;4;Interrogar para que, se a resposta todos já sabemos " eu não sei de nada", ou o militante vai dizer que foi a Marcela a responsável, o delinquente L4la já deu o caminho das pedras !! 
;1;4;Sou cidadão ficha limpa, não quero suja-la sendo cúmplice de corruptos  !!!
;2;4;Não existe democracia onde impera a corrupção, a injustiça, a mentira, a impunidade e a hipocrisia.
;2;4;No fim não dará em nada, Brasil, um país de tolos e corruptos!!!
;1;4;Linguagem informal...Elias Pereira...dá um desconto ai vai...
;2;4;Mal sabe...é o certo.  O roto falando do esfarrapado...
