1;2;3;Vejam bem, maioria dos homens apoiam. maioria de mulheres não. Homens tendem a serem lógicos, mulheres emotivas. Sera que mulheres acham que rodeios é judiação de animais? O que é claramente equivocado da parte delas. Como também isso se repete na PL3722, homens pensam logicamente, e são mais favorável ao cidadão ter menos restrições a armas de fogo para proteger seu patrimônio e sua família. Ja as mães, familiares, namoradas(os), principalmente de bandidos, acham isso um terror, por que qual mãe quer ver o filho bandido morto praticando um assalto? Logo são contra o direito das vitimas de si proteger do seu filho bandido. Vote consciente, vote com razão e não emoção! Brasil melhora rapidinho. 
116;3;1;Eu apoio esportes equestres... há evolução no aprimoramento dos procedimentos e cuidado aos animais está evoluindo a cada dia, são melhores tratados do que muita gente imagina... são aprimorados procedimentos constantemente, visando este bem estar.... os animais são nossos bens mais valiosos, cada esporte nasceu da na cultura de cada região, vem evoluindo e essa evoluções chegam às fazendas e criatórios para o melhor manejo nos campos particulares tbm...é como a industria automotiva, existe a Fórmula 1 por exemplo, que dita as tendencias futuras do mercado aos carros de rua. Outro fato importante a ser analisado, são que poucos animais são usados, não são todos os aptos, é uma seleção, é um esporte, os animais tbm são atletas, evolução genética para pistas resulta em evolução genética nos campos, na maioria dos casos, estes animais não são utilizados mais que uma ou duas vezes nos rodeios e provas.... há veterinários de plantão assessorando, cuidados especiais, água, alimentação diferenciada, sombra, transporte, acomodação... aqui no Sul não são utilizados mais de uma vez na mesma competição, passaram na pista, vão para o campo de descanso, aguardar alimentção e a volta ao campo de onde vieram... passam a semana em campos que garantem seu condicionamento e qualidade de vida ímpar... gera milhões de empregos e renda a milhares de famílias, desde o produtor do gado, ao criador de cavalo, as famílias envolvidas na produção de ração, suplementos, roupas, utensílios, é um povo unido que busca sempre estar fazendo campanha e doando milhares e milhares para entidades e necessitados, famílias são salvas, crianças e jovens preservados do mundo do crime e das drogas... num rodeio se firmam e se formam famílias, pessoal unido, sempre discutindo melhorias e desenvolvimento dessa cadeia produtiva que une produtores rurais em geral...jamais há intensão de maus tratos... há sérias punições e retaliações aos não cumpridores... "Sangue Zero" É LEI. Qualquer acidente que possa vir a acontecer e vestígio de que possa ocorrer uma lesão ou corte, superficial que seja, o animal é chamado, analisado pela banca de veterinários e técnicos do evento e desclassificado da prova, indo direto ao setor de atendimento acompanhado de toda tecnologia existente no mercado. Peço que quem não sabe como funciona e comenta pela emoção, no caso ver o ato do tombo na vaquejada, saber que o animal está condicionado a isso, estão sendo usados métodos que evitam todo e qualquer tipo de trauma, protetores de cauda para evitar qualquer lesão no rabo, nem contato direto do homem com o animal existe mais... estão sendo implantados itens artificiais que evitam este contato e protegem bois, cavalos, cavaleiros a cada dia. Há embasamento científico em muita coisa, não é no oba oba... envolve muita coisa e muita gente... vejo pessoal que se diz culto, estudado e inteligente se expressar, meio querendo se auto afirmar mais, por saber que muito peão que não teve a mesma condição de estudo está na pista, mas por trás disso tudo, existe sim estudo, dedicação, pessoas que estudam e continuam aprimorando tudo isso, a classe veterinária está em peso envolvida nessa evolução. Alguns que infelizmente não tiveram a mesma sorte de ter a condição educacional dos contras, são pessoas do bem e com certeza com a consciência da importância do bem estar dos animais, são os que convivem mais de perto, são os que tratam, que cuidam, que dormem juntos muitas vezes na noite anterior, enfim, isso é a vida deles, são mais companheiros que muitos cães presos em apartamentos, pintados de rosa, esmalte, lacinho etc... Vamos usar a inteligencia, a educação que tanto tentam impor e vamos rever a situação. Remédios são feitos de animais, testes de remédios são feitos com animais e garanto que muitos que falam aqui contra os esportes, utilizam e dependem desses medicamentos para viver, tem algum parente que precisa e ou vão precisar e garanto que não vão medir esforços para suas curas se necessário. O número de coisas que utilizam de produto animal só cresce, desde produto de beleza, utensílio para a vida moderna, roupas, acessórios, se formos buscar onde há vestígios de utilização animal, nem os veganos escapam, qto menos os defensores dos animais. Então deixemos um pouco de lado a hipocrisia e vamos ver a situação abrangente e com olhos para todos... a situação financeira do país, empregos, o mercado está tudo tão difícil e este nicho que cresce a cada dia e movimenta milhares de reais ao ano, não pode sofrer este revés... a situação do nosso NE já é tão difícil e querem eliminar mais de 700 mil vagas de empregos diretos que vivem em torno da vaquejada, isso falando só da vaquejada, se formos falar de todos os esportes equestres então.... Vamos por mais, vamos adiante. #euaopioesportesequestres #euaopioavaquejada 
117;1;1;EU APOIO A VAQUEJADA E TODAS AS PROVAS EQUESTRES !
118;1;1;Rodeio é cultura !!! 
119;1;1;EU APOIO AS PROVAS EQUESTRES REGULAMENTADAS. ANTES DE OPINAR ELEVE O SEU CONHECIMENTO DE COMO AS PROVAS ACONTECEM !!  
120;3;1;Pessoas discutem coisas que nem sabem ! PESSOAL VAMOS ATRÁS DE BANDIDO ! Colocar corrupto nas cadeias, chega dessa conversa de que maltratamos animais, vocês não tem a minima ideia de como são bem cuidados nossos animais, cuidamos muito melhor que vocês cuidam de suas vidas pelo que vejo ! Alguém ai tem médico 24 hrs de plantão ? vai ao dentista periodicamente ? trabalha apenas 40 minutos por dia no MAXIMO 4 vezes por semana ? toma banho com shampoo importado ? pois bem meus animais são assim ! Hipócritas e indecentes vocês que falam em maus tratos, DEFENSORES SOMOS NÓS que criamos e cuidamos de nossos animais e não vocês ai de seus sofás ! Meu animais não possuem uma marca se quer no corpo causada por um humano ! Tenho certeza que nunca vão conseguir nos proibir, porém, falo essas coisas para acabar com esse negócio de maus tratos ! VAMOS LÁ, PAREM DE FALAR, E TENTEM FAZER MELHOR !!! XAUUUUUUUU BRIGADOOOOOOOOOOOO kkkkkkkkkkkkkkkkk 
121;2;2;VÃO CONHECER DE PERTO ANTES DE FALAR MERDA!! O CHURRASCO DE DOMINGO NINGUÉM QUER ACABAR NE!! BANDO DE SEM NOÇÃO!! E A TRANSPOSIÇÃO DO RIO S. FRANCISCO QUE MATA MILHARES DE GADOS E CAVALOS AO ANO, ISSO NINGUÉM CONTESTA!!  
122;3;2;'Uma coisa de cada vez? Já faz 10 anos que o Rio está em obras de Bilhões de Reais, e nada alias tudo abandonado e a verba, olha sumiu, e os animais continuam morrendo de sede e fome!! Que ironia, e no nordeste, onde acontece a maioria das vaquejadas, e só vejo animais muito bem tratados, tenho fazenda, tenho cavalos, tenho gado de corte e leiteiro e animais de estimação que foram adotados e "achados" na rua, que são muito bem tratados e aliás gostaria de ver alguma pessoa "comum" conseguir cuidar de cavalos e gado, são muito mais delicados do que pet''s, precisam de vitaminas, rações especiais e muito cuidado, pois são atletas de alto nível, querer acabar com a vaquejada e outros esportes equetres e rodeios e acabar com o sustento de milhares de famílias de baixa renda que vivem disso e acabar com uma economia alta, e se formos a fundo e ir atrás dos criatórios de cães e gatos de "raça", onde as "Madames" vão comprar seu cãozinho de raça que anda dentro de um carinho, como se isso fosse normal? Não está certo também, ou discorda? todos queremos o melhor para nossos animais! '
123;1;1;CONCORDO GUILHERME FAÇA MINHAS PALAVRAS AS SUAS !! MUITO BOMM !! 
124;2;2;Você come carne? Animal nao foi feito para ser morto para certas pessoas a consumirem... se pensar por esse lado aqui seria a INDIA que a bovino é sagrado...  
125;2;4;Te mada então !! 
126;2;2;Te mata então !! 
127;3;1;E se for realmente proibido? Pra onde vão os milhares animais? Pois é, pro matadouro! Ou tão achando que alguém vai criar gado só por boniteza? E as pessoas desempregadas? Vão fazer o que? Arrumar emprego? Onde? O país tá falido! Acordem!! A proibição só é boa para o ego dos defensores, os que querem ser "santos" diante a mídia. Acabar com uma coisa que eles acham um problema, pra gerar dez vezes mais problemas, não é ser inteligente! Que isso não aconteça, se não o Brasil vai atirar no próprio pé! #EuApoioAVaquejada #EuApoioAsProvasEquestres #EuApoioORodeio e quem não gostou, estou a disposição! Tchaaaaaau brigada 
128;3;1;Não vai matar ? vai criar até quando ? HIPÓCRITA ! Pessoas discutem coisas que nem sabem ! PESSOAL VAMOS ATRÁS DE BANDIDO ! Colocar corrupto nas cadeias, chega dessa conversa de que maltratamos animais, vocês não tem a minima ideia de como são bem cuidados nossos animais, cuidamos muito melhor que vocês cuidam de suas vidas pelo que vejo ! Alguém ai tem médico 24 hrs de plantão ? vai ao dentista periodicamente ? trabalha apenas 40 minutos por dia no MAXIMO 4 vezes por semana ? toma banho com shampoo importado ? pois bem meus animais são assim ! Hipócritas e indecentes vocês que falam em maus tratos, DEFENSORES SOMOS NÓS que criamos e cuidamos de nossos animais e não vocês ai de seus sofás ! Meu animais não possuem uma marca se quer no corpo causada por um humano ! Tenho certeza que nunca vão conseguir nos proibir, porém, falo essas coisas para acabar com esse negócio de maus tratos ! VAMOS LÁ, PAREM DE FALAR, E TENTEM FAZER MELHOR !!! XAUUUUUUUU BRIGADOOOOOOOOOOOO kkkkkkkkkkkkkkkkk 3 
129;1;1;Aline, é colecionadora? Deve ter uma boa condição, a procriação não enche seu campo? Que maravilha, Deus abençoe sua vida e que possa te alcanças e rever, buscar ver como são criados e tbm buscar mais orientação sobre a sua volta, observar e estudar para saber o que não tem uso animal hj... desde cosméticos, utensílios, remédios etc... fica com Deus! 
130;2;2;Repugnante é a posição das líderes dos ativistas. Luisa Mel vendia coleiras anti-latidos e desfilava na avenida com plumas de pássaros e hoje recebe verba internacional para fazer papel de boazinha. Já a presidente dos protetores dos animais tentou influenciar as autoridades para fazer inspeções bem demoradas nos animais que estavam vindo para Brasília, o que os obrigaria a ficarem mais tempo sem agua e comida dentro do caminhão. Esses são os defensores de animais. Importante Nica, não mate insetos com asfixia química pois 99,9% deles tem como principal função a polinização, inclusive os pernilongos. Outra, estudos recentes indicam que plantas tem sentimento. Vai comer o que?
131;3;1;Sim.. Tourada é cultura! Não a nossa, mas é. Comer cachorro na china é cultural! Não a nossa, mas é. Vaquejada é cultura nordestina. Laço comprido é cultura de gaúcho. Rodeio é cultura nacional! Não comer carne de boi é cultura na Índia. E assim é o mundo. O que é ruim pra uns não é pra outros. Para uns ouvir Chico Buarque é cultura. Já no nordeste o Axé e o forró que são cultura. No sul o chamamé, a vaneira e o fandango são cultura. Um pássaro em uma gaiola pode ser maus tratos. Peixe num aquário também. Cachorro em apartamento talvez. Tudo depende do que você quer ver e do jeito que é interpretado. Matar galo para colocar em uma esquina com velas, é religião. Andar com faca na cintura é cultura em alguns lugares do Sul, em qualquer outro lugar do mundo você vai preso. Bom senso sempre vale em tudo. O que é cultura pra um pode ser absurdo pra outro. Mas quem define se é ou não é cultura, não são os protetores dos animais, até porque lutam contra tudo isso, mas vivem numa hipocrisia infinita! Falam que são contra, mas o boi ta la no espeto, a bolsa de couro não sai do lado, e por aí vai.. Essa Luisa Mell é uma desinformada, tão abeia que tem mel até no nome kkkk, e tem gente que vai na onda dela sem nem entender direito do que se trata, é o cúmulo do ridículo! Onde já se viu proibir um esportes que existe a mais de 100 anos e que emprega quase 2 milhões de pessoas no Brasil? E se for realmente proibido? Pra onde vão os milhares animais? Pois é, pro matadouro! Ou tão achando que alguém vai criar gado só por boniteza? E as pessoas desempregadas? Vão fazer o que? Arrumar emprego? Onde? O país tá falido! Acordem!! A proibição só é boa para o ego dos defensores, os que querem ser "santos" diante a mídia. Acabar com uma coisa que eles acham um problema, pra gerar dez vezes mais problemas, não é ser inteligente! Que isso não aconteça, se não o Brasil vai atirar no próprio pé! #EuApoioAVaquejada #EuApoioAsProvasEquestres #EuApoioORodeio e quem não gostou, estou a disposição! Tchaaaaaau brigado 
132;4;4;Vocês planejam ter bebês? quais as estratégias de procriação?  
133;2;1;Não concordo que seja criminoso!! O maior problema que enfrentamos hoje a população não se pronuncia, que é o crime organizado, trafico de drogas, sequestro, estupro, lavagem de dinheiro (desviado de obras publicas) e por aí vai. Essa cultura rural tem de ser respeitada, não pratico a vaquejada, tenho cavalos os quais são muito bem cuidados, participo de algumas provas equestres e laço comprido. Mas acho que devem respeitar o esporte de cada um...Sou praticante de artes marciais, já lutei a nível nacional. Acho algo incrível o mma, você pode não gostar mas deve de respeitar. Estamos vivendo um momento no qual o bicho está sendo tratado como home e o homem como bicho. Os graus de importância para as pessoas de bem, não existem. Um cidadão entra em sua casa assalta leva seus pertences, quando não faz uma barbárie e  não se pode fazer nada pois não foi pego em flagrante. O tempo em que estão se movimentando para isto, vão se pronunciar em favor das pessoas de bem, estamos vivendo presos dentro de nossas casas e os vagabundos tocando o terror em você e sua família. Respeitar a cultura é bom. Não gosto de bossa nova, mas respeito quem goste!!  
134;3;3;Sou um defensor do rodeio, mas totalmente contra a vaquejada. As seqüelas que os animais sofrem após  a queda são irreversíveis, sem contar as esporas pontiagudas e os freios cortando as narinas, utilizados nos cavalos, por isto a proibição deve ser mantida. Estou enojado de ver tanta gente do rodeio apoiando esta covardia por questões financeiras. O rodeio não deve associar sua imagem à vaquejada, jamais.  
135;1;1;Sou a favor desta modalidade, não apenas por ser um apaixonado por cavalos e conhecedor, mas sim por uma identificação pessoal com esta cultura do interior brasileiro. Aos que são contra vocês devem parar de comer carne, leite, galinha, inclusive vegetais, pois muitas vezes em lugares onde o agricultor não tem condições de comprar um trator para arar sua terra utiliza de uma bela junta de boi carreiro ou um bom cavalo no arado. Estamos falando de uma cultura que ultrapassa mais de 200 anos. Respeito é bom indiferente do gênero, idade, sexo ou cor!! Então respeitem quem ama essa cultura e vão viver de fotossíntese!!  
136;4;4;Desafio: Como a sua "namorada" se chama?  fala aí "pá nóis".  
137;2;2;ENTAO VAI CUIDAR DE SEU NAMORADO E DEIXE OS SERTANEJOS EM PAZ,,NINGUÉM AQUI VAI LUTAR CONTRA O CASAMENTO ENTRE HOMENS,,CUIDE DA SUA VIDA E SE GOSTA MESMO DE ANIMAIS VÁ AJUDAR OS MILHARES QUE ESTAO MORRENDO DE FOME E SEDE NO PERNAMBUCO E NO NORDESTE DO PAIS.. O QUE É CERTO PRA UNS PODE ERRADO PRA OUTRAS  POR ISSO TEMOS QUE ACEITAR AS DIFERENÇAS,,JA PENSOU SE TODO MUNDO VIRASSE CONTRA VC SÓ PORQUE VC NAMORA OUTRA HOMEM !! 
138;2;2;25 mortos em roraima,bela vista, 8 em rondonia,,55 presos foragidos em sao paulo,,por conta de uma guerra entre duas facçoes  criminosas,,um verdadeiro faroeste em nosso pais,,bancos sendo assaltados a luz do dia e pessoas sendo usadas como escudo humano,,e vcs vem procurar coisa errada em vaguejadas,rodeios e etc,,por isso que estamos vivendo nesse faroeste da hera moderna,,aqui os valores são invertidos sempre !! 
139;2;2;25 mortos em roraima,bela vista, 8 em rondonia,,55 presos foragidos em sao paulo,,por conta de uma guerra entre duas facçoes  criminosas,,um verdadeiro faroeste em nosso pais,,bancos sendo assaltados a luz do dia e pessoas sendo usadas como escudo humano,,e vcs vem procurar coisa errada em vaguejadas,rodeios e etc,,por isso que estamos vivendo nesse faroeste da hera moderna,,aqui os valores são invertidos sempre !! 
140;3;1;Tenho certeza que preferiria ter seu filho em um meio tão lindo quanto é o nosso, a ter eles em bares, boates, zonas, usando drogas, bebedeiras ! MAS COMO VAI SABER DISSO, NUNCA NEM VIU UM CAVALO NA VIDA ! ENTÃO POR FAVOR, NÃO JULGUE !!! Pessoas discutem coisas que nem sabem ! PESSOAL VAMOS ATRÁS DE BANDIDO ! Colocar corrupto nas cadeias, chega dessa conversa de que maltratamos animais, vocês não tem a minima ideia de como são bem cuidados nossos animais, cuidamos muito melhor que vocês cuidam de suas vidas pelo que vejo ! Alguém ai tem médico 24 hrs de plantão ? vai ao dentista periodicamente ? trabalha apenas 40 minutos por dia no MAXIMO 4 vezes por semana ? toma banho com shampoo importado ? pois bem meus animais são assim ! Hipócritas e indecentes vocês que falam em maus tratos, DEFENSORES SOMOS NÓS que criamos e cuidamos de nossos animais e não vocês ai de seus sofás ! Meu animais não possuem uma marca se quer no corpo causada por um humano ! Tenho certeza que nunca vão conseguir nos proibir, porém, falo essas coisas para acabar com esse negócio de maus tratos ! VAMOS LÁ, PAREM DE FALAR, E TENTEM FAZER MELHOR !!! XAUUUUUUUU BRIGADOOOOOOOOOOOO kkkkkkkkkkkkkkkkk 
141;2;2;Atencão nação de bota e chapéu: Quem ama o rodeio profissional e, respeita os animais não apoia vaquejada, nem vai prá Brasília dia 25/10 apoiar o retorno desta crueldade. Não devemos associar a imagem do rodeio, já desgastada à práticas sádicas. O STF, não interferiu em nosso segmento, não devemos nos envolver. Não participem desta manifestação, ela só interessa ao comércio de cavalos e, aos sádicos do Nordeste.  
142;1;1;também apoio a vaguejada
143;2;2;Que é isso Paulo? cowboy que ama rodeio, não apóia covardia, nem vaquejada. Água e óleo não se misturam. Utilize a opção excluir, prá esse seu comentário, meu jovem.  
144;1;1;se eu fosse um boi, gostaria de trabalhar no rodeio: seria amado pelo meu dono, tratado com rações especiais, tomaria as melhores vacina, os melhores veterinários cuidariam de mim, praticaria uma atividade física (o esporte), competiria diretamente com o ser humano, que se acha superior a mim....     e depois disso ainda me tornaria um reprodutor até o fim da vida... 
145;2;2;vai caçar sua turma seu florsinha,,aqui vc nao arrumar namorado,,vc esta procurando namorado no lugar errado 
146;1;1;Aeee Davi, minhas continências prá você guerreiro. QSL/TKS.  
147;2;6;sabem quanto  trabalha um animal de rodeio e um de hipismo,,nem por isso foi proibido o hipismo na s olimpiadas 
148;6;6;boxe, esgrima, MMA, isso pode? 
149;6;6;e pesca então? um pobre animal é caçado com um anzol na goela e depois morto por asfixia...   quanta hipocrisia 
150;4;4;vai caçar um trabalho,ou um namorado,,ai do pé dos cowboys,,ou venha pra brasilia dia 25 expor suas ideias.. 
151;2;2;se vc é vegano e homo sexual é problema seu,,nao queira que outras pessoas sejam como vc,,cada um faz o que gosta pare de pertubar com não esta mexendo com vc 
152;3;1;NADA?  nem queijo, leite, mel, usa nada de couro, chiclete, creme, loção para barbear, seu carro não tem couro, na sua casa não tem nenhum tipo de madeira (sabia que ao colocar isso lá, algum ser vivo COM CERTEZA perdeu a vida para que tivesse essa arvore lá !) Só acho que se fosse errado isso, DEUS não teria nos feito CARNÍVOROS ! Pessoas discutem coisas que nem sabem ! PESSOAL VAMOS ATRÁS DE BANDIDO ! Colocar corrupto nas cadeias, chega dessa conversa de que maltratamos animais, vocês não tem a minima ideia de como são bem cuidados nossos animais, cuidamos muito melhor que vocês cuidam de suas vidas pelo que vejo ! Alguém ai tem médico 24 hrs de plantão ? vai ao dentista periodicamente ? trabalha apenas 40 minutos por dia no MAXIMO 4 vezes por semana ? toma banho com shampoo importado ? pois bem meus animais são assim ! Hipócritas e indecentes vocês que falam em maus tratos, DEFENSORES SOMOS NÓS que criamos e cuidamos de nossos animais e não vocês ai de seus sofás ! Meu animais não possuem uma marca se quer no corpo causada por um humano ! Tenho certeza que nunca vão conseguir nos proibir, porém, falo essas coisas para acabar com esse negócio de maus tratos ! VAMOS LÁ, PAREM DE FALAR, E TENTEM FAZER MELHOR !!! XAUUUUUUUU BRIGADOOOOOOOOOOOO kkkkkkkkkkkkkkkkk 
153;4;4;conheçam antes de falar coisas que nunca viram 
154;2;2;porque sera que ninguém  vem aqui falar dos milhares de animais que estao morrendo de fome e sede no sertao nordestino,,cade transposição do rio sao francisco. porque ninguem fala dos jockeis clubes sera que os animais do jockey são diferentes. 
155;2;1;Fiscalizar sim proibrir nunca,,somos um pais livre,,nao devemos proibrir casamento de homem com homem,nao podemos proibrir viita intimas na cadeia,,nem saidinhas de presos,,porque proibrir interação de homens e animais. 
156;3;3;Rodeio sim. Vaquejada não.  
157;2;3;Luiz Paulo, sempre deixei bem claro que sou a favor do rodeio profissional, regulamentado por Lei Federal, não do rodeio de fundo de curral e,  totalmente contra a vaquejada e, sua inclusão neste PL.  
158;4;4;vai se tratar rapaz !!!!! 
159;2;2;Estou fazendo minha parte não vou à Brasília dia 25/10 e, estou desmotivando o maior número possível de, pessoas coerentes a não irem apoiar esta maldição que se chama, vaquejada.  
160;3;1;sim! é uma cultura e muito importante.. essa festa essa cultura jamais pode ser proibida no Brasil.. e em questão de animais, tratem de se informarem melhor que voceis estão bem desinformados !!  
161;2;2;Cade os protetores dos animais,para ajudar os milhares de animais que estao morrendo de fome e sede no nordeste brasileiro. 
162;2;2;então deixe de ser hipocrita e morra de fome... 
163;6;6;produção animal e rodeio é "tortura"... mas a colheita de soja, em que um ser vivo é atropelado, engolido e triturado por uma máquina é normal? 
164;2;2;Luiz keffeyo Sacomana, suas afirmações não são confiáveis por tratar-se de um indivíduo de caráter duvidoso rejeitado pela família (o "pai" não quer nem ouvir falar, no ser), odiado pela sociedade,  amaldiçoado pela igreja e  com gravíssima crise de existência, não sabe a qual gênero sexual pertence (pensa que ânus é vagina. Tsc...,tsc, ai que burrrooo)  nem sabe prá que veio a este mundo, aliás nem deveria ter vindo. Face a este seu currículum desinvejável, suas considerações são irrelevantes.  
165;4;2;chegou a hora de vc poder ajudar milhares de animais que estao morrendo de fome e sede no sertão nordestino,,todo dia morre centenas deles de fome e sede,,vc está fazendo o que para ajudar ?? 
166;4;4;Acho que vc poderia se informar melhor. 
167;2;2;Até concordaria em proibrir alguma coisa ,,mas  se esse país fosse correto,,aqui é uma bagunça,pessoas são mortas por um celular,, temos no centro de são paulo a maior concentração de drogados do mundo,,parece uma criação de zumbis,,menores colocam fogo em onibus,matam,traficam e não podem ficar presos,ou qdo ficam saem com 21 anos e de fixa limpa,,entao vamos proibir o que aqui,, se aqui pode se tudo,,presos que saem no dia dos pais sem terem pais e etc... 
168;1;6;TA BOM LUIZ PAULO,NAO VAMOS MAIS MONTAR EM TOUROS E NEM COME-LOS,,VAMOS DEIXA-LOS LIVRES NOS PASTOS,,PARA SEMPRE,,TA BOM ASSIM ? 
169;2;2;Chefia, já que o maltrato do touro é tão grande que nem voc 
170;4;4;vocês afirmam quero ver você comer um bife de carne de touro  
171;3;2;Depois do fim das vaquejadas nordestinas (decisão acertada do STF) rodeios continuarão a serem realizados no Centro-Sul do Brasil desde que,  obedeçam as normas vigentes. Ministros entenderam que as provas de montarias, não causam dor ou sofrimento aos animais, comprovados por laudos técnicos. Ativistas mau intencionados, movidos por modismo, e não pela razão, não conseguiram apresentar provas contrárias. Arquive-se, e segue a vida.  
172;4;6;Então explica prá gente aquí, gênio porquê acabaram com a vaquejada (Graças a Deus) e deixaram o rodeio?  
173;6;2;vamos deixar um recado para o luiz paulo,,acabou tudo  ,nao vamos interagir com animais ,,vamos soltar todos em um savana na africa,,ja estamos esperando os navios chegarem e tambem nao vamos mais comer carne,,vc venceu,,amanha mesmo começa chegar os navios,,chega de interagir com animais.todo os animais do brasil viveram livres na africa agora. 
174;6;6;ahh ta,,é que nao vamos comer mais carne tambem,,vc tem algum lugar que possamos soltar os animais que nao vao mais para as festas ?? se vc tiver a gente leva pra vc 
175;2;2;Cara chato esse Luiz(a) Keffeyo. A biba se mete na nossa vida, em nossa cultura, sem entender nada e agora quer mudar nossa alimentação também. Daquí a pouco ele vai sugerir que a gente queime a rosca também. Isso não, não contem comigo comer xuxu e broto de bambú ainda passa, mas, dar ré no kibe eu tô fora. Deusulivre.  
176;2;2;O que seria pessoas venagas? uma nova espécie de pederastas? me ajude aí nem o Google consegue identificar. Pqp. além de veado é burro, esta anta. Isso não é gente é um zoológico ambulante. kkkkkkk 
177;3;3;O rodeio segue intocável nem sequer foi mencionado no STF. Nada como um bom lobby em Brasília, e laudos de veterinários sérios. Vaquejada já foi tarde tomara que a retirem do nosso PL, mancha nossa reputação. Não apoiamos covardia.  
178;6;2;ta bom,,tabom,, nao vamos vai interagir com animais,,todos vao pra africa e viverem livres para sempre 
179;2;2;Não se iluda. Temos representatividade em Brasília. Você já ouviu falar em "lobby"?  
180;3;3;Graças a Deus. Odeio vaquejada mesmo, essa desgraça é coisa de nordestino sádico, nem deveria estar incluída neste PL, onde já se viu, arrancar caldas e, quebrar pernas  dos bois, ser considerado patrimônio cultural, absurdo. Já o rodeio dá  tratamento de atleta a seus touros e cavalos, e transformados em ídolos.  
181;5;5;Silvio Barros prá prefeito de Maringá no segundo turno. Viva a Expoingá, viva o rodeio no Paraná.  
182;2;2;Ana Sacoman Animais, vantagem numérica em votação de projetos, aquí, não decide nada, isto é uma votação simbólica, não possui poder de decisão final. Inúmeros projetos de leis não tiveram aceitação da maioria dos internautas e mesmo assim foram aprovados. O impeachment da Dilminha, por exemplo,  é um deles entre tantos outros. Pesquise aí, antes de ficar cantando vantagens. O melhor está por vir é lá do Senado, reduto do agronegócio que engloba o rodeio.  
183;2;2;Prá você ver né. Manda quem pode, e obedece quem têm juízo. Vocês não estão acima da lei, o rodeio é regulamentado por ela, e vocês querendo ou não vão ter que nos engolir pelo resto dos seus miseráveis dias. Não será a revoltinha de uma bibinha pobre, do "pé vermeio", que irá nos abalar.  
184;2;2;Verdade, sou uma piada mesmo, mas das boas. Já você: ô viadinho sem graça, não serviria prá ser outra coisa mesmo, a não ser esta aberração, segundo a bíblia.  
185;2;2;Quando você chegar no inferno  (breve - DST/HIV matam sua espécie), você vai lamentar não ter seguido e respeitado este livro velho filho do demônio. Lá você vai queimar a rosca literalmente.  
186;2;2;Sacomana Keffeyo, pare com este fake. Todos sabem que é você por trás deste perfil ridículo de Bart Simpson.  
187;3;5;Amigos, não percam a série sobre rodeio, Fearless: 8 Segundos Para a Glória, no Canal Netflix também disponível no You Tube. Está o máximo, e o melhor é que os abeias contrários, estão morrendo de inveja, porquê no Netflix não passa nada sobre, receita de bolo de repolho, ou churrasco de xuxu. Oh dó.  
188;2;2;Você ainda respira, aberração? já se recuperou da queda? Que pena. Não se faz asfalto como antigamente mais. Quem sabe na próxima vez vêm um bi-trem boiadeiro atrás de você, e: plóóóft.... 
189;2;2;Aberrações da natureza que, permitem que vossos ânus  (leia-se fiofó) sejam profanados, e que são rejeitados pela família, odiados pela sociedade, e abominados pela igreja deveriam ser proíbidos de opnarem sobre assuntos relevantes dos seres humanos normais.  
190;2;2;Este é um falso perfil de Sacomana Keffeyo. Certeza. Ridículo descer a este nível. coisa de biba desocupada, mesmo.  
191;1;1;Os Rodeios são muito importantes culturalmente e economicamente, alguns dos animais possuem vidas de reis e devem ser sempre melhor tratados e sempre utilizando técnicas para não maltratar o animal. Esse PL abrange a elevação do nível cultural e não trata de assuntos específicos como maus-tratos. 
192;1;1;27 de Agosto Dia do Peão de Boiadeiro. Parabéns aos heróis dos oitos segundos.
193;1;5;sim bons tratos e acabar com o rodeio e dps acabar os touros servirem d file no prato de comida d vcs . eu acho q vc deveria pesquisar muito bem antes d ficar falando q são maltratados. https://www.youtube.com/watch?v=HAV3N0GnCpc https://www.youtube.com/watch?v=qDhg5bUrVLU https://www.youtube.com/watch?v=Xq_Glqc5N8Q https://www.youtube.com/watch?v=Ktg-opMI47o https://www.youtube.com/watch?v=z3497vtprnA 
194;4;4;mas nao foi,,entao aprenda a respeitar quem gosta,,ou procure saber pelo menos como é de verdade. 
195;5;5;https://www.youtube.com/watch?v=Xq_Glqc5N8Q 
196;1;1;100% bons trataos aos animais,esse é o lema de barretos 2016,,confiram de perto  compre seu ingresso e ajude mais a vez ao hospital do cancer de barretos. 
197;5;5;https://www.youtube.com/watch?v=HQWFEP51X7Q 
198;5;5;Não esqueçam,agora dia 4 de outubro é dia nacional do rodeio. 
199;2;2;Esse luiz paulo não tem jeito,sempre procurando cowboys nesse site. 
200;1;2;e vc acha que alguem vai parar de montar em boi porq vc nao quer,,se nao for nas festas vai continuar nas fazendas,nos torneios ,se vc fala que gosta de animais deveria preservar as festas,lá são tudo fiscalizado,com acompanhamento veterinario e regras,acabar com as festas é retroceder no tempo,porque quem gosta de interagir com animais vai continuar interagindo ou em um ou em outro lugar..e ainda por cima vc estaria condenando milhares de animais a morte.as provas de laço acabaram nas festas e continuaram com muito mais força nas fazendas e nos torneios,,isso ja deve servir de exemplo pra vc ver o que vai acontecer com outras modalidades. 
